,product_type,prodtype_match_tot,iteration
0,face moisturizer,98.76712328767124,0
1,face serum,99.6774193548387,0
2,face wash,99.44664031620553,0
3,toner,97.8048780487805,0
4,toothpaste,100.0,0
5,overall,99.13636363636364,0
6,face moisturizer,98.89705882352942,1
7,face serum,98.78048780487806,1
8,face wash,99.32835820895522,1
9,toner,97.82608695652173,1
10,toothpaste,80.0,1
11,overall,98.84090909090911,1
12,face moisturizer,98.70748299319727,2
13,face serum,97.97468354430382,2
14,face wash,99.5219123505976,2
15,toner,96.26373626373625,2
16,toothpaste,65.71428571428571,2
17,overall,98.22727272727272,2
18,face moisturizer,99.32659932659934,3
19,face serum,98.49802371541502,3
20,face wash,99.40677966101696,3
21,toner,96.85393258426967,3
22,toothpaste,100.0,3
23,overall,98.86363636363636,3
24,face moisturizer,98.43971631205675,4
25,face serum,97.2566371681416,4
26,face wash,99.35251798561151,4
27,toner,95.55555555555554,4
28,toothpaste,70.0,4
29,overall,98.00000000000001,4
30,face moisturizer,98.12080536912752,5
31,face serum,98.47533632286995,5
32,face wash,99.05882352941177,5
33,toner,96.53061224489797,5
34,toothpaste,86.66666666666666,5
35,overall,98.22727272727272,5
36,face moisturizer,98.75,6
37,face serum,97.96460176991151,6
38,face wash,99.63898916967509,6
39,toner,97.5609756097561,6
40,toothpaste,80.0,6
41,overall,98.56818181818183,6
42,face moisturizer,99.09967845659165,7
43,face serum,98.7793427230047,7
44,face wash,99.5505617977528,7
45,toner,96.23529411764706,7
46,toothpaste,95.0,7
47,overall,98.86363636363636,7
48,face moisturizer,99.27007299270073,8
49,face serum,98.31932773109244,8
50,face wash,99.55719557195572,8
51,toner,98.44444444444444,8
52,toothpaste,97.14285714285712,8
53,overall,99.0,8
54,face moisturizer,99.14191419141915,9
55,face serum,98.69565217391305,9
56,face wash,98.88475836431226,9
57,toner,95.83333333333334,9
58,toothpaste,100.0,9
59,overall,98.68181818181819,9
60,face moisturizer,99.1186440677966,10
61,face serum,99.07407407407408,10
62,face wash,98.81481481481481,10
63,toner,96.42105263157895,10
64,toothpaste,95.0,10
65,overall,98.70454545454545,10
66,face moisturizer,99.08396946564885,11
67,face serum,98.68217054263566,11
68,face wash,99.32584269662922,11
69,toner,96.62921348314606,11
70,toothpaste,100.0,11
71,overall,98.79545454545455,11
72,face moisturizer,98.64406779661017,12
73,face serum,98.25726141078839,12
74,face wash,99.48148148148148,12
75,toner,96.90140845070422,12
76,toothpaste,80.0,12
77,overall,98.5909090909091,12
78,face moisturizer,98.76623376623377,13
79,face serum,99.49494949494951,13
80,face wash,99.58041958041959,13
81,toner,98.33333333333334,13
82,toothpaste,100.0,13
83,overall,99.1590909090909,13
84,face moisturizer,99.2,14
85,face serum,98.43478260869564,14
86,face wash,99.2248062015504,14
87,toner,97.09677419354838,14
88,toothpaste,72.0,14
89,overall,98.70454545454545,14
90,face moisturizer,98.52713178294573,15
91,face serum,98.91050583657588,15
92,face wash,99.63898916967509,15
93,toner,99.23076923076923,15
94,toothpaste,80.0,15
95,overall,98.84090909090911,15
96,face moisturizer,98.89705882352942,16
97,face serum,98.95652173913044,16
98,face wash,98.87323943661971,16
99,toner,96.88888888888889,16
100,toothpaste,85.0,16
101,overall,98.63636363636363,16
102,face moisturizer,98.2876712328767,17
103,face serum,98.26086956521738,17
104,face wash,99.25650557620817,17
105,toner,95.60975609756098,17
106,toothpaste,91.42857142857143,17
107,overall,98.27272727272728,17
108,face moisturizer,98.81533101045295,18
109,face serum,98.81856540084388,18
110,face wash,99.7037037037037,18
111,toner,95.06172839506173,18
112,toothpaste,88.00000000000001,18
113,overall,98.68181818181819,18
114,face moisturizer,99.27631578947368,19
115,face serum,98.86255924170617,19
116,face wash,99.49999999999999,19
117,toner,99.01234567901234,19
118,toothpaste,100.0,19
119,overall,99.22727272727272,19
120,face moisturizer,98.92086330935251,20
121,face serum,98.6266094420601,20
122,face wash,99.43262411347519,20
123,toner,98.29268292682927,20
124,toothpaste,84.00000000000001,20
125,overall,98.86363636363636,20
126,face moisturizer,98.94039735099336,21
127,face serum,98.3838383838384,21
128,face wash,99.13043478260869,21
129,toner,96.21621621621621,21
130,toothpaste,74.28571428571429,21
131,overall,98.45454545454547,21
132,face moisturizer,99.45525291828794,22
133,face serum,98.35497835497836,22
134,face wash,99.01315789473685,22
135,toner,97.14285714285712,22
136,toothpaste,55.00000000000001,22
137,overall,98.5909090909091,22
138,face moisturizer,98.71886120996442,23
139,face serum,98.87550200803213,23
140,face wash,99.01515151515153,23
141,toner,95.71428571428571,23
142,toothpaste,100.0,23
143,overall,98.56818181818183,23
144,face moisturizer,98.6861313868613,24
145,face serum,98.93536121673003,24
146,face wash,99.4238683127572,24
147,toner,97.41935483870968,24
148,toothpaste,91.42857142857143,24
149,overall,98.77272727272727,24
150,face moisturizer,99.04059040590406,25
151,face serum,98.5425101214575,25
152,face wash,99.49820788530467,25
153,toner,97.40259740259741,25
154,toothpaste,96.66666666666666,25
155,overall,98.88636363636364,25
156,face moisturizer,98.53479853479854,26
157,face serum,98.8646288209607,26
158,face wash,98.75,26
159,toner,96.8627450980392,26
160,toothpaste,80.0,26
161,overall,98.4090909090909,26
162,face moisturizer,98.62318840579711,27
163,face serum,97.33905579399142,27
164,face wash,99.7173144876325,27
165,toner,97.53086419753087,27
166,toothpaste,94.28571428571428,27
167,overall,98.5,27
168,face moisturizer,98.82352941176471,28
169,face serum,99.07172995780591,28
170,face wash,99.66329966329968,28
171,toner,96.04938271604938,28
172,toothpaste,92.0,28
173,overall,98.84090909090911,28
174,face moisturizer,98.94736842105264,29
175,face serum,99.25619834710744,29
176,face wash,99.17910447761194,29
177,toner,98.48101265822784,29
178,toothpaste,96.66666666666666,29
179,overall,99.04545454545455,29
180,face moisturizer,98.53146853146853,30
181,face serum,98.58921161825727,30
182,face wash,99.4927536231884,30
183,toner,97.86666666666667,30
184,toothpaste,40.0,30
185,overall,98.6590909090909,30
186,face moisturizer,98.77419354838709,31
187,face serum,97.87234042553192,31
188,face wash,99.6168582375479,31
189,toner,95.14285714285714,31
190,toothpaste,95.0,31
191,overall,98.47727272727272,31
192,face moisturizer,99.01140684410647,32
193,face serum,98.59649122807016,32
194,face wash,99.5221843003413,32
195,toner,97.77777777777779,32
196,toothpaste,100.0,32
197,overall,98.95454545454545,32
198,face moisturizer,98.81533101045295,33
199,face serum,97.57575757575758,33
200,face wash,99.27710843373495,33
201,toner,97.1698113207547,33
202,toothpaste,91.42857142857143,33
203,overall,98.36363636363636,33
204,face moisturizer,99.42857142857143,34
205,face serum,98.37606837606839,34
206,face wash,99.30501930501931,34
207,toner,99.11764705882354,34
208,toothpaste,80.0,34
209,overall,99.0,34
210,face moisturizer,98.7279151943463,35
211,face serum,98.83817427385893,35
212,face wash,99.44881889763779,35
213,toner,97.23404255319149,35
214,toothpaste,77.5,35
215,overall,98.61363636363636,35
216,face moisturizer,99.07801418439716,36
217,face serum,98.75,36
218,face wash,99.47761194029852,36
219,toner,96.86746987951807,36
220,toothpaste,74.28571428571429,36
221,overall,98.70454545454545,36
222,face moisturizer,98.09187279151944,37
223,face serum,97.99163179916319,37
224,face wash,98.8976377952756,37
225,toner,98.49462365591398,37
226,toothpaste,94.54545454545456,37
227,overall,98.29545454545455,37
228,face moisturizer,98.96907216494846,38
229,face serum,97.73755656108598,38
230,face wash,99.64539007092199,38
231,toner,98.78048780487806,38
232,toothpaste,95.0,38
233,overall,98.84090909090911,38
234,face moisturizer,99.38356164383562,39
235,face serum,98.17460317460318,39
236,face wash,99.3574297188755,39
237,toner,98.78048780487806,39
238,toothpaste,84.00000000000001,39
239,overall,98.88636363636364,39
240,face moisturizer,98.9247311827957,40
241,face serum,98.76543209876543,40
242,face wash,99.48717948717949,40
243,toner,93.58024691358025,40
244,toothpaste,95.0,40
245,overall,98.54545454545456,40
246,face moisturizer,98.64864864864865,41
247,face serum,98.12765957446808,41
248,face wash,99.28571428571429,41
249,toner,97.44186046511626,41
250,toothpaste,76.36363636363637,41
251,overall,98.29545454545455,41
252,face moisturizer,99.26910299003323,42
253,face serum,98.29959514170041,42
254,face wash,99.67871485943775,42
255,toner,96.50000000000001,42
256,toothpaste,93.33333333333333,42
257,overall,98.84090909090911,42
258,face moisturizer,98.91696750902528,43
259,face serum,98.71244635193133,43
260,face wash,98.97810218978103,43
261,toner,97.07865168539327,43
262,toothpaste,91.42857142857143,43
263,overall,98.63636363636363,43
264,face moisturizer,99.13333333333334,44
265,face serum,97.92207792207792,44
266,face wash,99.28571428571429,44
267,toner,95.95744680851064,44
268,toothpaste,100.0,44
269,overall,98.52272727272727,44
270,face moisturizer,98.97763578274761,45
271,face serum,98.15789473684211,45
272,face wash,99.04761904761905,45
273,toner,96.05263157894737,45
274,toothpaste,72.72727272727273,45
275,overall,98.20454545454545,45
276,face moisturizer,99.01754385964911,46
277,face serum,99.36,46
278,face wash,99.29411764705883,46
279,toner,97.20930232558139,46
280,toothpaste,75.0,46
281,overall,98.9090909090909,46
282,face moisturizer,99.20265780730897,47
283,face serum,98.85964912280703,47
284,face wash,99.36254980079681,47
285,toner,96.63157894736842,47
286,toothpaste,84.00000000000001,47
287,overall,98.79545454545455,47
288,face moisturizer,98.91472868217053,48
289,face serum,98.25726141078839,48
290,face wash,99.47169811320755,48
291,toner,97.19626168224298,48
292,toothpaste,93.33333333333333,48
293,overall,98.63636363636363,48
294,face moisturizer,98.81533101045295,49
295,face serum,99.24050632911391,49
296,face wash,98.95131086142322,49
297,toner,99.04761904761905,49
298,toothpaste,96.0,49
299,overall,98.97727272727273,49
300,face moisturizer,99.01408450704226,50
301,face serum,98.31858407079646,50
302,face wash,99.57446808510639,50
303,toner,98.53658536585365,50
304,toothpaste,80.0,50
305,overall,98.84090909090911,50
306,face moisturizer,98.49829351535837,51
307,face serum,98.0952380952381,51
308,face wash,99.37743190661479,51
309,toner,96.66666666666666,51
310,toothpaste,90.0,51
311,overall,98.43181818181819,51
312,face moisturizer,98.91304347826087,52
313,face serum,98.26086956521738,52
314,face wash,99.77941176470588,52
315,toner,97.05263157894738,52
316,toothpaste,82.85714285714286,52
317,overall,98.68181818181819,52
318,face moisturizer,98.67132867132867,53
319,face serum,97.95744680851064,53
320,face wash,99.70588235294117,53
321,toner,93.15789473684211,53
322,toothpaste,81.81818181818181,53
323,overall,98.11363636363636,53
324,face moisturizer,99.06354515050167,54
325,face serum,98.64978902953587,54
326,face wash,99.77099236641222,54
327,toner,98.44155844155844,54
328,toothpaste,88.00000000000001,54
329,overall,99.04545454545455,54
330,face moisturizer,99.54545454545455,55
331,face serum,98.85462555066078,55
332,face wash,99.0513833992095,55
333,toner,97.97752808988764,55
334,toothpaste,93.33333333333333,55
335,overall,99.04545454545455,55
336,face moisturizer,98.91156462585033,56
337,face serum,98.02575107296137,56
338,face wash,99.61977186311786,56
339,toner,99.26829268292684,56
340,toothpaste,87.5,56
341,overall,98.8181818181818,56
342,face moisturizer,99.09722222222221,57
343,face serum,98.25,57
344,face wash,99.6309963099631,57
345,toner,97.2972972972973,57
346,toothpaste,97.14285714285712,57
347,overall,98.86363636363636,57
