,product,brand,product_type,active,price,size,ratings,total_reviews,link,price_oz,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,vit_a
20203,''Buffet'',The Ordinary,face serum,no_actives,14.8,1.0,4.4,333,https://www.ulta.com/buffet?productId=pimprod2007114,14.8,0.008772350559171568,0.02022427732827671,0.023326743766228564,0.01975548152303326,0.012018612487366206,0.04206288817973827,0.02816832667732176,0.011453058965911768,1.393777426251173,-1.0172360945408625,-0.8295579802762325,-0.12991556314462316,0.12600154424717142,0.162188356428632,-0.2464124928348198,0.017430328104342724,-0.3251519648901242,0.25532355836763854,-0.0635096238002008,-0.11833024321415073,0
16423,''Buffet'' + Copper Peptides 1%,The Ordinary,face serum,no_actives,28.9,1.0,4.3,52,https://www.ulta.com/buffet-copper-peptides-1?productId=pimprod2009276,28.9,0.008770448625672691,0.01990979304042716,0.02265892328525794,0.01939305823427645,0.011983054205224518,0.04131211011965005,0.02794407088064088,0.011528395566880078,1.3693476637074495,-1.0279661785840206,-0.8224501157669314,-0.14833522508720975,0.11741112205491927,0.13788587482502207,-0.24157360724155463,-0.0014092071149933716,-0.30591226962615814,0.25062001677594126,-0.06823703074410764,-0.12387121089015626,0
16351,+Retinol Vita C Power Serum Firming + Brightening Treatment,Kate Somerville,face serum,no_actives,98.0,1.0,4.3,47,https://www.ulta.com/retinol-vita-c-power-serum-firming-brightening-treatment?productId=pimprod2003139,98.0,0.010775603691166018,0.01933188036772141,0.02867640312248129,0.01524351755628448,0.01712010554160722,0.059301338517054505,0.025777321606810434,0.012313526235956775,1.4411221651924413,-0.8812613111753466,-0.9868108932642636,-0.40400894639962565,0.18176806392911704,-0.39796790910088287,0.09417245663333505,0.25122564912774153,0.17843837795652154,-0.21186877839625434,0.5872887564499562,0.3805482432744637,1
38813,+Retinol Vitamin C Moisturizer,Kate Somerville,face moisturizer,no_actives,90.0,1.7,3.7,10,https://www.ulta.com/retinol-vitamin-c-moisturizer?productId=pimprod2005754,52.94,0.02556880338257235,0.036825112093104136,0.08326380072248593,0.060344572298657966,0.039600934086349814,0.1475066143981946,0.03187313076466292,-0.001659342664953638,2.9956277318002145,1.2969531288242553,-0.0596009364087394,-0.6709780058618724,-0.5567251680650745,-0.5954326556378098,0.10821416978819377,0.5423046182248527,0.7563196845138836,-0.12492222838617206,0.8184358094508524,0.9329555878041287,1
11734,1000 Roses Cleansing Foam,Andalou Naturals,face wash,no_actives,12.99,0.6,4.8,10,https://www.ulta.com/1000-roses-cleansing-foam?productId=xlsImpprod18751479,21.65,0.008761723057169771,0.021700199295170555,0.022498307294677177,0.02347971837313413,0.011784661184857622,0.041648663079818835,0.027049839288279594,0.01114373665516892,1.1939403361899017,-0.5032821351156066,0.49279892518079615,-0.052667902744642066,-0.6052250608714653,-0.06727111784741205,0.37283733063885793,0.15467251307773372,-0.8540622530853931,0.40103855306007163,-0.3443627201324286,0.513853677887286,0
46456,24-7 Moisture Hydrating Day & Night Cream,Tula,face moisturizer,no_actives,52.0,1.49,4.7,1302,https://www.ulta.com/24-7-moisture-hydrating-day-night-cream?productId=xlsImpprod18731039,34.9,0.0235906284607503,0.03934382993917834,0.09839077709846691,0.05530058997932038,0.03501447049313642,0.1566301582399347,0.0375450513314846,-0.00429234713682055,3.287259021669902,1.508935145442214,0.004605093147028783,-0.11174493586384404,-0.0649169749039826,0.24273993833196178,0.2706276297507507,0.5064830746680253,0.2812625816833346,0.30684591290082325,0.4494163400439056,0.22365622633515125,0
12896,3 Step Mini Skin Care Set,KYLIE SKIN,toner,no_actives,29.0,6.08,2.5,8,https://www.ulta.com/3-step-mini-skin-care-set?productId=pimprod2017645,4.77,0.008847520506556409,0.028951487621274447,0.05833052820183626,0.03733033082780732,0.013473757816814194,0.10385351860607411,0.02288051620013031,0.0031140844111943724,2.3608470574464775,0.5301249856019887,-0.22826487082590377,0.8060869483372806,-1.0249573609809646,0.27867928400748293,0.09571292374607532,0.47948273754941684,0.3240497764024212,0.6447347199863769,0.023870087883437308,0.2634865708996526,0
3974,3% Glycolic Solutions Cleanser,Peter Thomas Roth,face wash,no_actives,39.0,8.5,4.7,21,https://www.ulta.com/3-glycolic-solutions-cleanser?productId=xlsImpprod16661051,4.59,0.013467240208169032,0.03361941342637233,0.02889832188012342,0.02649553108454435,0.02251563998831705,0.05582165101228104,0.05140867904786758,0.010676830317668353,1.661588915206731,-1.0900201272110395,0.9843746591979884,-0.20582100606805329,-0.09258153759012838,0.21821838726231155,0.3579354264013094,0.011914514270887827,-0.2806595627737518,0.08230474676226357,0.22925618628246408,-0.2236198706198408,0
41156,5 in 1 Face Cream SPF 30,First Aid Beauty,face moisturizer,octinoxate,40.0,1.7,4.1,53,https://www.ulta.com/5-in-1-face-cream-spf-30?productId=xlsImpprod13491033,23.53,0.02288354645757311,0.029721875936690977,100.0804720437305,-0.06517559895250298,-0.024465564696018658,-0.05774751553444616,-0.012813241937099113,0.006369950789752426,-0.4524498216975046,-0.3271713614941223,-0.24379845240094294,-0.2302285870985047,-0.8289368041491786,0.25834786538770904,-0.5742876750242683,-0.6577440048761836,-0.19559547716271458,-0.059509127034036935,-0.10090539064101106,0.2709837036188043,0
49545,50 MG CBD Moisturizer,e.l.f. Cosmetics,face moisturizer,no_actives,15.0,1.0,3.0,1,https://www.ulta.com/50-mg-cbd-moisturizer?productId=pimprod2016304,15.0,0.014786103510950215,0.021156526295910114,0.039472200139170854,0.025106717067247618,0.022331638658669214,0.06760665535324674,0.019793427870505656,-0.008543664053637703,1.5161109062209528,0.6935365849591606,0.38986234962373223,0.08488303669844843,0.12049692241341428,-0.014470089794167515,-0.5779207260401367,-0.08285656040376752,-0.2802439501364531,-0.42317215231439737,-0.019917145163727328,-0.17768175216915058,0
