,use_category,use_subcategory,skintype,brand,product,size,price,details,ingredients,ratings,perc_respondrec,total_reviews,link,page
0,cleanser,face wash,dry,Juice Beauty,Cleansing Milk,Size 6.75 oz|,"Price
$25.00","Vegan & Cruelty-Free. Formulated with an organic base of botanical juices instead of added water. This creamy formula deeply cleanses and removes makeup with organic grape seed and sunflower oils, while soothing normal, aging, or sensitive skin with organic chamomile and calendula. A daily essential perfect for cleansing and removing makeup. Juice Beauty's Cleansing Milk is designed for all skin types and especially beneficial for normal, dry or mature skin.

Key Benefits:
Removes makeup effectively.
Hydrating cleansing action with neroli, grapeseed, aloe, sesame & sunflower.
Tones with resveratrol from grapeseed.
Soothes and replenishes with botanical extracts of chamomile, calendula, linden.
Feeds the skin with rich nutrients of vitamins C, B5.
Emollient action with vitamin E.


Powerful Action Without

Since every organic drop feeds your skin, Juice Beauty formulates WITHOUT: Animal fats/oils/musks, Acetone, Acrylates, Artificial colors & dyes, Avobenzone, Benzalkonium Chloride, Benzocaine, Benzophenone, BHA (butylated hydroxyanisole), BHT (butylated hydroxytoluene), Butylene Glycol, Carbon Black, Carmine, Coal Tar Dyes, Copper Disodium EDTA, Dimethicones, Disodium EDTA, Fragrance (Synthetic/Parfum), Formaldehyde, Formaldehyde releasers or donors, Gelatin, gmos (Genetically Modified Organisms), Hydroquinone, Lead Acetate, MEA-containing ingredients, Mercury, Methylchloroisothiazolinone, Methylisothiazolinone, Microbeads (plastic), Mineral Oil, Oxybenzone, Parabens, pegs, Pesticides, Petroleum, Petrolatum, Phthalates, Propylene Glycol, Silicones, Sodium Lauryl Sulfates, Talc, TEA, Triclosan. Their products are NEVER tested on animals.","Ingredients: Vitis vinifera (organic white grape juice/jus de raisin blanc bio)*, aloe barbadensis (organic aloe juice/jus de aloès bio)*, glycerin¿, cetearyl alcohol¿, caprylic/capric triglyceride¿, prunus amygdalus dulcis (organic sweet almond oil/huile d¿amande douce bio)*, carthamus tinctorius (organic safflower seed oil/huile de carthame bio)*, rubus idaeus (organic red raspberry juice/jus de framboise bio)*, helianthus annuus (organic sunflower seed oil/huile de graines de tournesol bio)*, sesamum indicum (organic sesame seed oil/huile de graines de sésame bio)*, vitis vinifera (grape seed oil/huile de pépins de raisin), hydrolyzed linseed extract, cetearyl glucoside¿, gluconolactone¿, calcium gluconate, sodium benzoate, potassium sorbate, potassium hydroxide, sodium citrate, citric acid, calendula officinalis (marigold flower extract/extrait des fleurs de souci), chamomilla recutita (chamomile extract/extrait de camomille), tilia cordata (linden flower extract/extrait des fleurs de tilleul), panthenol (Vitamin B5/vitamine B5), ascorbic acid (Vitamin C/vitamine C), tocopherol (Vitamin E/vitamine E), allantoin, xanthan gum, citrus sinensis (orange oil/huile d¿orange), boswellia carterii (frankincense oil/huile d¿encens). *certified organic ingredient / ingrediént certifié bio ¿ plant derived / origine végétale",3.9,,169 Reviews,https://www.ulta.com/cleansing-milk?productId=xlsImpprod3670091,2
1,cleanser,face wash,dry,Aveeno,Ultra-Calming Foaming Cleanser,Size 6.0 oz|,"Price
$10.99","This Ultra-Calming Foaming Cleanser gently cleanses and calms dry, sensitive skin. Sensitive skin can become unbalanced, leading to irritation and redness. Aveeno's exclusive facial cleansing formula with Calming Feverfew, an ingredient related to Chamomile, helps visibly reduce the look of redness and calm irritated, sensitive skin. This gentle foaming facial cleanser works as a face wash and makeup remover to lift away dirt, oil, and makeup without over-drying the skin. A foaming cleanser that is fragrance-free, soap-free, hypoallergenic & non-comedogenic, gentle enough for everyday use.

Use the complete Aveeno Ultra-Calming collection or explore other Aveeno collections for a skin solution that reveals your natural beauty. Aveeno has been dermatologist recommended for over 65 years.

Benefits:
Facial cleanser gently cleanses & calms
Foaming cleanser for dry, sensitive skin
Contains Calming Feverfew extract","Water, Glycerin, Cocamidopropyl Betaine, Decyl Glucoside, PEG-16 Soy Sterol, PPG-2 Hydroxyethyl Cocamide, Polysorbate 20, Phenoxyethanol, Butylene Glycol, Tetrasodium EDTA, Sodium Citrate, Disodium Lauroamphodiacetate, Citric Acid, Sodium Coco Pg-dimonium Chloride Phosphate, Methylparaben, Xanthan Gum, Propylparaben, Ethylparaben, Chrysanthemum Parthenium (feverfew) Flower Extract, Sodium Cocoyl Amino Acids, Sarcosine, Potassium Aspartate, Magnesium Aspartate, Sodium Hydroxide.",4.3,,374 Reviews,https://www.ulta.com/ultra-calming-foaming-cleanser?productId=xlsImpprod640030,2
2,cleanser,face wash,dry,ULTA,Super Soothe Gentle Daily Cleanser,Size 4.0 oz|,"Price
$10.00","ULTA's Super Soothe Gentle Daily Cleanser is a gentle face cleanser that hydrates and refreshes skin with a light cucumber scent!

Key Ingredients:
Aloe Vera Leaf Juice & Cucumber Extract - hydrate and soothe skin
Ginseng Extract - tones for smooth, even looking skin
Rosewater - packed with antioxidants that are known to combat free radicals and soften skin
Benefits:
Best for normal skin types
Dermatologist-tested
Formulated without parabens, sulfates or phthalates","Water (Aqua), Decyl Glucoside, Glycerin, Polysorbate 20, Butylene Glycol, Coco-Glucoside, Glyceryl Oleate, Xanthan Gum, Caprylic/Capric Triglyceride, Rosa Damascena (Rose) Flower Water, Aloe Barbadensis Leaf Juice, Cucumis Sativus (Cucumber) Fruit Extract, Panax Ginseng Root Extract, Anthemis Nobilis (Chamomile) Flower Extract, Rose Extract, Santalum Album (Sandalwood) Extract, Jasminum Officinale (Jasmine) Flower/Leaf Extract, Pyrus Malus (Apple) Fruit Extract, Elettaria Cardamomum Seed Extract, Rubus Idaeus (Raspberry) Fruit Extract, Lavandula Angustifolia (Lavender) Flower/Leaf Stem Extract, Cucumis Melo (Melon) Fruit Extract, Citrus Aurantium Dulcis (Orange) Peel Extract, Cananga Odorata Flower Extract, Sclerotium Gum, Lysolecithin, Caprylyl Glycol, Disodium EDTA, Glyceryl Stearate, Carthamus Tinctorius (Safflower) Oleosomes, Pullulan, PEG-120 Methyl Glucose Dioleate, Fragrance, Phenoxyethanol, Ethylhexylglycerin.",4.3,,19 Reviews,https://www.ulta.com/super-soothe-gentle-daily-cleanser?productId=pimprod2012335,2
3,cleanser,face wash,dry,Lancôme,Miel-En-Mousse Foaming Face Cleanser & Makeup Remover,Size 6.7 oz|,"Price
$40.00","Miel-en-Mousse Foaming Face Cleanser and Makeup Remover is formulated with acacia honey and has a transformative texture for sensorial facial cleanser and makeup removal. Upon application, the honey-like texture captures makeup and impurities. Once emulsified with water, it transforms into a velvety mousse. Miel-en-Mousse Facial Cleanser leaves skin feeling cleansed and soft.

A 2-in-1 foaming face cleanser and makeup remover with acacia honey. Transformative honey-like texture, removes makeup, contains acacia honey.","Glycerin, Aqua / Water, Sodium Laureth Sulfate, Coco-Betaine, PEG-7 Glyceryl Cocoate, Mel / Honey, CI 19140 / Yellow 5, Sodium Chloride, Sodium Benzoate, PEG-55 Propylene Glycol Oleate, Polyquaternium-7, Salicylic Acid, Nelumbo Nucifera Flower Extract, Limonene, Linalool, Propylene Glycol, Sorbitol, Rosa Gallica Flower Extract, Citric Acid, Prunus Amygdalus Dulcis Oil / Sweet Almond Oil, Parfum / Fragrance.",4.6,,203 Reviews,https://www.ulta.com/miel-en-mousse-foaming-face-cleanser-makeup-remover?productId=xlsImpprod16411321,2
4,cleanser,face wash,dry,First Aid Beauty,Travel Size Pure Skin Face Cleanser,Size 2 oz|,"Price
$11.00","First Aid Beauty's Pure Skin Face Cleanser is a non-stripping, pH-balanced formula that helps maintain skin's natural acidity and reduce flair-ups. The sumptuous, creamy texture never leaves skin tight or dry. Infused with a powerful antioxidant blend, it helps safeguard skin against environmental aggressors while also calming irritated skin.","Water/Aqua/Eau, Sodium Cocoyl Isethionate, Glycerin, Stearic Acid, Hydrogenated Coconut Acid, Sodium Isethionate, Stearyl Alcohol, Allantoin, Chrysanthemum Parthenium (Feverfew) Extract, Camellia Sinensis Leaf Extract, Glycyrrhiza Glabra (Licorice) Extract, Aloe Barbadensis Leaf Juice, Tocopherol, Caprylyl Glycol, Sodium PCA, Coco-Glucoside, Glyceryl Oleate, Hydroxypropyl Methylcellulose, Hydrogenated Palm Glycerides Citrate, Disodium Cocoamphodiacetate, Phenoxyethanol, Sodium Chloride, Disodium EDTA, Citric Acid, Maltodextrin, Leuconostoc/Radish Root Ferment Filtrate, EDTA.",4.3,,14 Reviews,https://www.ulta.com/travel-size-pure-skin-face-cleanser?productId=pimprod2013849,2
5,cleanser,face wash,dry,Estée Lauder,Nutritious Super-Pomegranate Radiant Energy 2-In-1 Cleansing Foam,Size 4.2 oz|,"Price
$34.00","Estée Lauder's Nutritious Super-Pomegranate Radiant Energy 2-in-1 Cleansing Foam is a dual-action foam, now with 2X pomegranate concentrate, that gently refreshes as your daily cleanser - and is a weekly deep-purifying mask too. This dual-action cleanser purifies skin for a look that's clean, fresh and radiant.

Use it two ways:
Morning and night, it works as a gentle foaming cleanser
At night, once a week (or as needed), let it work for 2 minutes as a deep purifying mask

The Nutritious Super-Pomegranate Collection:
Pure Essence of Mediterranean Pomegranate: Harvested from the pristine Mediterranean basin, Estée Lauder's pomegranates are transformed through an 8-step whole-fruit cold-solvent extraction process to preserve power and potency
Precision-Crafted Blend of 8 Potent Ingredients: Estée Lauder's masterfully crafted complex is infused with the pure essence of Mediterranean pomegranate, plus a patented super-berry ferment, essential vitamins and minerals

Created for and tested on Asian women in Asia.

Ideal For:
Dullness, loss of radiance
Lack of energy, vitality
Multi-benefits in one
Gentle daily cleansing
Weekly purifying mask
2X pomegranate concentrate

Formula Facts:
Dermatologist-tested
Non-acnegenic; won't clog pores","Water\Aqua\Eau, Myristic Acid, Glycerin, Behenic Acid, Palmitic Acid, Potassium Hydroxide, Sodium Methyl Cocoyl Taurate, Lauric Acid, Stearic Acid, Montmorillonite, Vaccinium Angustifolium (Blueberry) Fruit Extract, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Lycium Chinense (Wolfberry) Fruit Extract, Punica Granatum (Pomegranate) Extract, Paeonia Suffruticosa (Peony) Root Extract, Sapindus Mukorossi Fruit Extract, Hypnea Musciformis (Algae) Extract, Serenoa Serrulata (Saw Palmetto) Fruit Extract, Ergothioneine, Caffeine, Gellidiella Acerosa Extract, Dipotassium Glycyrrhizate, Caesalpinia Spinosa Gum, Urea, Tocopheryl Acetate, Yeast Extract\Faex\Extrait De Levure, Trehalose, Sodium Hyaluronate, Fragrance (Parfum), PEG-3 Distearate, Sodium Pca, Butylene Glycol, Polyquaternium-7, Tetrahexyldecyl Ascorbate, Polyquaternium-51, Disodium EDTA, Phenoxyethanol, Methylchloroisothiazolinone, Methylisothiazolinone, Citral, Yellow 5 (Ci 19140), Red 4 (Ci 14700).

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",4.9,,193 Reviews,https://www.ulta.com/nutritious-super-pomegranate-radiant-energy-2-in-1-cleansing-foam?productId=pimprod2003011,2
6,cleanser,face wash,dry,No7,Radiant Results Nourishing Cleansing Balm,Size 4.2 oz|,"Price
$8.99","Cleanse your way to radiant & healthier looking skin in 1 week with No7's Radiant Results Nourishing Cleansing Balm. A nourishing cleansing balm which works to dissolve away make-up, impurities, and pollutants. Enriched with nourishing oils to help gently smooth away dryness, without leaving any residue. Leaves skin feeling perfectly clean, soothed, and silky soft.

Benefits:
Helps skin to retain moisture levels, and feel hydrated
Formulated with No7's Tri-Vit Complex + Grapeseed Oil
Helps protect your skin's natural, healthy balance","Ethylhexyl Palmitate, Cocos Nucifera (Coconut) Oil, Hydrogenated Microcrystalline Wax, Theobroma Cacao (Cocoa) Seed Butter, PEG-20 Glyceryl Triisostearate, Synthetic Wax, Glyceryl Stearate, Panthenol, Vitis Vinifera (Grape) Seed Oil, Parfum (Fragrance), Tocopheryl Acetate, Phenoxyethanol, Retinyl Palmitate, Methylparaben, Ethylparaben, Isopropyl Myristate, Tocopherol.",4.1,,88 Reviews,https://www.ulta.com/radiant-results-nourishing-cleansing-balm?productId=xlsImpprod18771055,2
7,cleanser,face wash,dry,Dermalogica,Travel Size Precleanse Balm,Size 0.5 oz|,"Price
$13.50","Achieve cleaner, healthier-looking skin with the double cleanse regimen that begins with Precleanse. This water-activated, balm-to-oil version of Dermalogica's top-selling oil cleanser deconstructs layers of excess sebum (oil), waterproof make-up, environmental pollutants and residual product buildup on skin. Includes mitt.

We recommend that first-time Dermalogica users visit an authorized skin treatment professional for a client consultation in an ULTA store.

View Dermalogica skin treatments at all ULTA locations. Book your appointment today.","Caprylic/Capric Triglyceride, C12-15 Alkyl Benzoate, Laureth-4, Hydrogenated Vegetable Oil, Ozokerite, Bis-Stearyl Dimethicone, Glyceryl Behenate, Tribehenin, Stearyl Stearate, Stearic Acid, Phospholipids, Prunus Armeniaca (Apricot) Kernel Oil, Glycine Soja (Soybean) Oil, Lavandula Angustifolia (Lavender) Oil, Citrus Aurantium Dulcis (Orange) Oil, Citrus Grandis (Grapefruit) Peel Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Cymbopogon Schoenanthus Oil, Lavandula Hybrida Oil, Glycol Distearate, Sorbitol/Sebacic Acid Copolymer Behenate, Tocopherol, Glycolipids, Eucalyptus Staigeriana Branch/Leaf Oil, Glycine Soja (Soybean) Sterols, Linalool, Citral, Limonene, Phenoxyethanol.",4.4,,42 Reviews,https://www.ulta.com/travel-size-precleanse-balm?productId=xlsImpprod16621061,2
8,cleanser,face wash,dry,ACURE,Ultra Hydrating Green Juice Cleanser,Size 4.0 oz|,"Price
$12.99","Supergreens smoothie for your face? Yes please. ACURE's Ultra Hydrating Green Juice Cleanser is a purifying greens creamy smoothie-to-foam cleanser that utilizes adaptogenic ashwagandha, holy basil, reishi, turmeric and a supergreens blend of kale, spinach, neem, and spirulina to deep clean and refresh.

Key Ingredients:
Adaptogens - combat effects of environmental stress & soothe
Supergreens - support healthy skin
Benefits:
100% Vegan
Cruelty-free
For thirsty skin types
Formulated without parabens, sulfates, mineral oil, petrolatum, or formaldehyde","Water (Aqua), Sodium Cocoyl Isethionate, Glyceryl Stearate Se, Hydroxypropyl Starch Phosphate, Butyrospermum Parkii (Shea) Butter, Glycerin, Glyceryl Oleate, Decyl Glucoside, Phenethyl Alcohol, Hydrolyzed Jojoba Esters, Disodium Coco-Glucoside Citrate, Sodium Lauroyl Lactylate, Sclerotium Gum, Helianthus Annuus (Sunflower) Seed Oil, Glyceryl Caprylate, Ethylhexylglycerin, Jojoba Esters, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Aniba Rosodora (Rosewood) Wood Oil, Arthrospira Platensis Extract, Brassica Oleracea Acephala Extract, Citrus Aurantium Dulcis (Orange) Flower Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Cordyceps Sinensis Extract, Curcuma Longa (Turmeric) Root Extract, Ganoderma Lucidum (Mushroom) Extract, Jasminum Officinale (Jasmine) Oil, Ocimum Sanctum Leaf Extract, Pelargonium Graveolens Flower Oil, Spinacia Oleracea (Spinach) Leaf Extract, Withania Somnifera Root Extract, Aspalathus Linearis Leaf Extract*, Calendula Officinalis Flower Extract*, Chamomilla Recutita (Matricaria) Flower Extract*, Euterpe Oleracea Fruit Extract*, Punica Granatum Extract*, Rosa Canina Fruit Extract*, Rubus Fruticosus (Blackberry) Fruit Extract*, Citric Acid.

*Organic Ingredient",4.6,,42 Reviews,https://www.ulta.com/ultra-hydrating-green-juice-cleanser?productId=pimprod2011676,2
9,cleanser,face wash,dry,Lano,"Face Base Gel Cream Cleanser - Natural, pH Balanced, & Dermatologically Tested",Size 4.05 oz|,"Price
$22.00","Your clever skin makes its very own oils & pH level, and stripping these completely can lead to unhappy skin. Lano's hybrid Face Base Gel Cream Cleanser deep-cleans like a gel, but is gentle like a cream.

It's balanced, sulfate-free formula is smarter than most. It cleanses without stripping skin of it's essential natural oils-giving you a gentle and effective cleanse that leaves skin squeaky clean (but not tight).

Dermatologically tested for sensitive skin. pH balanced to maintain skin barrier health. For perfectly clean, healthy, pH balanced skin.

Benefits:
Female-Owned Beauty Brand
TSA-Approved, travel friendly beauty product
Cruelty-Free & Certified by Leaping Bunny
Vegetarian
99% Natural
No artificial colors, fragrances, parabens, petrolatum, PEGs, or mineral oil","Water*, Disodium Laureth Sulphosuccinate*, Decyl Glucoside*, Glycerin*, Acrylates Copolymer, Lauryl Glucoside*, Cocamidopropyl Betaine*, Polyquaternium-7*, Betaine*, Glycol Stearate*, Fragrance (Natural)*, Phenoxyethanol, Caprylyl Glycol*, Sodium Hydroxide*, Ethylhexylglycerin, Polyquaternium-10*, Tetrasodium EDTA, Lanolin Oil*, *95% Naturally Derived/Dérivé Naturellement.",4.3,,11 Reviews,https://www.ulta.com/face-base-gel-cream-cleanser-natural-ph-balanced-dermatologically-tested?productId=pimprod2004616,2
