,use_category,use_subcategory,skintype,brand,product,size,price,details,ingredients,ratings,perc_respondrec,total_reviews,link,page
0,cleanser,face wash,normal,Origins,Plantscription Anti-Aging Cleanser,Size 5.0 oz|,"Price
$34.00","This gentle foaming cleanser with jasmine flowers and conditioning oat protein helps dissolve dirt and impurities and release dead cells. Leaves skin looking radiant, smooth and youthfully alive.

Find ULTA Beauty stores that carry Origins.","Water\Aqua\Eau, Myristic Acid, Glycerin, Behenic Acid, Palmitic Acid, Potassium Hydroxide, Sodium Methyl Cocoyl Taurate, Lauric Acid, Stearic Acid, Rosa Damascena Flower Oil*, Lavandula Angustifolia (Lavender) Oil* Pelargonium Graveolens Flower Oil*, Illicium Verum (Anise) Oil*, Citrus Aurantium Bergamia (Bergamot) Fruit Oil*, Carthamus Tinctorius (Safflower) Seed Oil*, Myristica Fragrans (Nutmeg) Kernel Oil*, Citrus Aurantium Dulcis (Orange) Oil*, Citrus Nobilis (Mandarin Orange) Peel Oil*, Citrus Medica Limonum (Lemon) Peel Oil*, Litsea Cubeba Fruit Oil*, Hibiscus Abelmoschus Extract, Linalool, Citronellol, Limonene, Anogeissus Leiocarpus Bark Extract, Aloe Barbadensis Leaf Extract, Jasminum Officinale (Jasmine) Flower Wax, Sodium Lauroyl Oat Amino Acids, Peg-3 Distearate, Sodium Hyaluronate, Phytantriol, Disodium Edta, Methylchloroisothiazolinone, Methylisothiazolinone, Phenoxyethanol.

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",4.5,,142 Reviews,https://www.ulta.com/plantscription-anti-aging-cleanser?productId=xlsImpprod15071299,2
1,cleanser,face wash,normal,Kate Somerville,Goat Milk Moisturizing Cleanser,Size 4 oz|,"Price
$38.00","Kate Somerville's Goat Milk Moisturizing Cleanser gently removes makeup, dirt, oil and impurities without stripping skin of its radiance or essential moisture-now in an enhanced non-foaming creamy formula.

Benefits:
Goat Milk soothes dry, sensitive skin with natural milk proteins
Manuka Honey nourishes skin without any tightness, dryness or irritation
Jojoba and Avocado Oils moisturize and condition

Proud to be cruelty-free. Kate Somerville has been certified cruelty-free by PETA, solidifying their commitment to never test their products or ingredients on animals.","Water Sodium Cocoyl Isethionate, Cocamidopropyl Hydroxysultaine, Glycerin, Polyglyceryl-3 Methylglucose Distearate, Betaine, Glyceryl Distearate, Vitis Vinifera (Grape) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Persea Gratissima (Avocado) Oil, Cocos Nucifera (Coconut) Oil, Caprylic/Capric Triglyceride, Xylitylglucoside, Propanediol, Polyacrylate Crosspolymer-6, Glyceryl Stearate, Cetearyl Alcohol, Caprae Lac (Goat Milk, Lait de Chèvre), Lactose, Milk Protein, Lactic Acid, Tocopherol, Mel Extract (Honey Extract, Extrait de Miel), Rosmarinus Officinalis (Rosemary) Leaf Extract, Helianthus Annuus (Sunflower) Extract, Bisabolol, Aloe Barbadensis Leaf Juice, Sodium Lauroyl Glutamate, Oryza Sativa (Rice) Bran Extract, Xylitol, 1,2-Hexanediol, Anhydroxylitol, Parfum/Fragrance, Stearic Acid, Disodium EDTA, Caprylhydroxamic Acid, Xanthan Gum, t-butyl Alcohol, Benzyl Salicylate.",4.8,,45 Reviews,https://www.ulta.com/goat-milk-moisturizing-cleanser?productId=pimprod2003141,2
2,cleanser,face wash,normal,ELEMIS,Dynamic Resurfacing Facial Wash,Size 6.7 oz|,"Price
$49.00","Purifies, renews, revitalizes. Smooth and refine skin and gently exfoliate dead skin cells with the ELEMIS Dynamic Resurfacing Facial Wash. Patented tri-enzyme technology helps to smooth skin, revealing a deeply cleansed and more radiant complexion. Not only is it ideal for the face but can also be used on the chest, back and backs of upper arms to improve rough textured skin. An ideal accompaniment morning and evening to use with a facial/body cleansing device. Not tested on animals.

Key Ingredients & Benefits:
Subtillsine: A skin compatible, bioactive micro-encapsulated enzyme that catalyses the breakdown of proteins into polypeptides to dissolve dead skin cells
Protease: This micro mushroom is a proteolytic enzyme with keratolitic agents to improve cell renewal
Papain: Derived from exotic papaya which breaks down proteins into smaller molecules to reveal clearer, more supple skin

This product is free from:
Artificial color
Parabens
SLS, SLES
DEA
Mineral oil

The ELEMIS Promise:
Active Plant Extracts
Skin Kind
Results-Driven Formulations
91% agreed this left the skin feeling smooth and soft*

*Independent user trials","Aqua/Water/Eau, Sodium Lauroyl Sarcosinate, Glycerin, Cocamidopropyl Betaine, Acrylates Copolymer, Polysorbate 20, Coco-Glucoside, Glycol Distearate, Glyceryl Oleate, Sodium Lactate, Dicaprylyl Ether, Phenoxyethanol, Lauryl Alcohol, Fragrance (Parfum), Sodium Chloride, Orbignya Oleifera (Babassu) Seed Oil, Xanthan Gum, Caprylyl Glycol, Propylene Glycol, Sodium Hydroxide, Chlorphenesin, Citric Acid, Glyceryl Stearate, Papain, Disodium EDTA, Galactoarabinan*, Behenyl Alcohol, Butyrospermum Parkii (Shea) Butter, Benzoic Acid, Moringa Pterygosperma Seed Extract, Hydrogenated Castor Oil, Disodium Phosphate, Stearyl Alcohol, Protease, Subtilisin, Tocopherol, Hydrogenated Palm Glycerides Citrate, Poria Cocos (White Truffle) Extract.

*Extracted from Larch Tree",4.6,,190 Reviews,https://www.ulta.com/dynamic-resurfacing-facial-wash?productId=xlsImpprod18731123,2
3,cleanser,face wash,normal,Dermalogica,Power Cleanse Duo,Item 2554229,"Price
$19.00","This Power Cleanse Duo is a travel-friendly set of Dermalogica's iconic formulas work to reveal clean and bright skin. PreCleanse is a deep-cleansing vegan oil that removes stubborn makeup and impurities from skin and Daily Microfoliant activates upon contact with water to gently exfoliate, leaving skin smoother and brighter.

Skin Concerns:
Pores
Fine Lines and Wrinkles
Dullness and Uneven Texture

Key Ingredients:
Vitamin E (PreCleanse): Nourishes and protects the skin
Rice Bran (PreCleanse): Rich in oryzanol which is high in antioxidants and packed with b vitamins to soften skin
Salicylic Acid (Daily Microfoliant): Exfoliates to clear pores and impurities from skin

Key Callouts

This product is:
Cruelty-free
Vegan
Paraben-free
Sulfate-free
Phthalate-free
Synthetic fragrance-free
Has recyclable packaging

Includes:
Daily Microfoliant (0.45 oz)
Precleanse (1.0 oz)

We recommend that first-time Dermalogica users visit an authorized skin treatment professional for a client consultation in an ULTA store.

View Dermalogica skin treatments at all ULTA locations. Book your appointment today.","Precleanse:
Caprylic/Capric Triglycerides, Prunus Armeniaca (Apricot) Kernel Oil, PEG-40 Sorbitan Peroleate, Helianthus Annuus (Sunflower) Seed Oil, Citrus Aurantium Dulcis (Orange) Oil, Citrus Grandis (Grapefruit) Peel Oil, Cymbopogon Schoenanthus Oil, Borago Officinalis Seed Oil, Lavandula Angustifolia (Lavender) Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Solanum Lycopersicum (Tomato) Extract, Lavandula Hybrida Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Oryza Sativa (Rice) Bran Oil, Carthamus Tinctorius (Safflower) Seed Oil, Aleurites Moluccana Seed Oil, Cetyl Ethylhexanoate, Dicaprylyl Carbonate, Tocopheryl Acetate, Tocopherol, C12-15 Alkyl Benzoate, Citral, Limonene, Linalool.

Daily Microfoliant:
Microcrystalline Cellulose, Magnesium Oxide, Sodium Cocoyl Isethionate, Sodium Lauroyl Glutamate, Colloidal Oatmeal, Disodium Lauryl Sulfosuccinate, Oryza Sativa (Rice) Bran, Oryza Sativa (Rice) Starch, Allantoin, Papain, Salicylic Acid, Ginkgo Biloba Leaf Extract, Camellia Sinensis Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Pca, Hydrolyzed Wheat Protein, Populus Tremuloides Bark Extract, Cyclodextrin, Lauryl Methacrylate/Glycol Dimethacrylate Crosspolymer, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Limonene, Citrus Paradisi (Grapefruit) Peel Oil, Citric Acid, Titanium Dioxide (CI 77891) , Hexylene Glycol.

Dermalogica Is dedicated To Maintaining The Accuracy Of The Ingredient Lists On This Website. However, Because Ingredients Are Subject To Change, We Cannot Guarantee That These lists Are Complete, Up-to-date And/or Error-free. For An Accurate Listing Of ingredients In Each Product, Please Refer To Your Product Packaging.",4.6,,12 Reviews,https://www.ulta.com/power-cleanse-duo?productId=pimprod2011170,2
4,cleanser,face wash,normal,Exuviance,Deep Clean AHA Cleanser,Size 7.2 oz|,"Price
$30.00","Jump start your skincare routine with Exuviance's AHA Cleanser, a foaming cleansing gel designed to deep clean and effectively remove makeup, surface oils and impurities. The Alpha and Polyhydroxy Acid (AHA/PHA) formula with Glycolic Acid and Gluconolactone targets a clarified skin texture and natural pH balance to leave skin feeling clean and refreshed.

Benefits:
Deep cleans to remove impurities
Soap-free
Non-drying
Dermatologist and Allergy tested

Same product, new look! Exuviance AHA Cleanser.","Aqua/water/eau, Sodium Laureth Sulfate, Cocamidopropyl Betaine, PEG-7 Glyceryl Cocoate, Tea-lauryl Sulfate, Propylene Glycol, Glycolic Acid, Gluconolactone, Polyquaternium-10, Benzophenone-4, Caprylyl Glycol,phenoxyethanol, Chlorphenesin, Parfum (fragrance), Blue 1(CI 42090), Yellow 5 (CI 19140).",4.5,,278 Reviews,https://www.ulta.com/deep-clean-aha-cleanser?productId=prod5013707,2
5,cleanser,face wash,normal,Clinique,Clinique For Men Face Wash,Item 2271621,"Price
$20.00","Gentle, thorough cleanser for normal to dry skins. Leaves skin feeling fresh, comfortable, never tight or dry. Preps skin for a comfortable shave.

(6.7 fl. oz.)","Water / Aqua / Eau, Sodium Laureth Sulfate, Sodium Chloride, Cocamidopropyl Hydroxysultaine, Lauramidopropyl Betaine, Sodium Cocoyl Sarcosinate, Tea-Cocoyl Glutamate, Aloe Barbadensis Leaf Juice, Sodium Hyaluronate, Sucrose, Di-PPG-2 Myreth-10 Adipate, Hexylene Glycol, Chamomilla Recutita (Matricaria), Butylene Glycol, Caprylyl Glycol, Cetyl Triethylmonium Dimethicone PEG-8 Succinate, Sodium Sulfate, Polyquaternium-7, Laureth-2, PEG-120 Methyl Glucose Dioleate, Tocopheryl Acetate, EDTA, Disodium EDTA, Sodium Benzoate, Phenoxyethanol.

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",4.9,,22 Reviews,https://www.ulta.com/clinique-men-face-wash?productId=xlsImpprod6470047,2
6,cleanser,face wash,normal,Clinique,Clinique For Men Oil Control Face Wash,Size 6.7 oz|,"Price
$20.00","Oil-control formula thoroughly cleanses normal to oily skins, removes excess shine. Leaves skin feeling fresh, comfortable, never tight or dry. Preps skin for a comfortable shave.Clinique's Clean Philosophy: No parabens. No phthalates. No fragrance. Just happy skin.

What else is this product free of? Gluten Free, Oil Free, Free of Denatured Alcohol, SLS Free.","Water / Aqua / Eau, Sodium Laureth Sulfate, Lauramidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Chloride, Sodium Cocoyl Sarcosinate, Tea-Cocoyl Glutamate, Butylene Glycol, Aloe Barbadensis Leaf Juice, Sucrose, Hexylene Glycol, Caprylyl Glycol, Sodium Sulfate, Polyquaternium-7, Laureth-2, PEG-120 Methyl Glucose Dioleate, Menthol, EDTA, Disodium EDTA, Phenoxyethanol, Yellow 6 (CI 15985), Yellow 5 (CI 19140), Yellow 10 (CI 47005).

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",4.6,,62 Reviews,https://www.ulta.com/clinique-men-oil-control-face-wash?productId=xlsImpprod6470049,2
7,cleanser,face wash,normal,INDIE LEE,Purifying Face Wash,Size 4.2 oz|,"Price
$34.00","Indie Lee Purifying Face Wash gently, yet thoroughly, removes makeup and impurities. This antioxidant-rich foaming cleanser with Java Plum, Orange and Lavender extracts helps soothe the skin while dissolving excess sebum. Clove, Burdock and Mandarin promote a clearer, brighter complexion. Rose Damascena and Jasmine ensure skin feels soft and supple, never tight. COSMOS NATURAL.

Recommended For:
All Skin Types
Brighter complexion
Makeup Removal

Benefits:
Vegan
Cruelty-Free
Non-GMO
Paraben-Free
Silicone-Free

About Indie Lee:

In 2008, Indie Lee was diagnosed with a life-threatening brain tumor that doctors felt could be environmentally derived and attributed to something as simple as what she was putting on her skin. After learning that up to 60% of what we apply to our skin may be absorbed in as little as 26 seconds, Indie had her awakening. She embarked upon a wellness journey to create a clean beauty collection dedicated to inspiring and empowering others to be mindful about what they put on their skin as well as into their bodies.

Sourcing the world's finest ingredients and formulating with the help of leading, like-minded chemists, Indie Lee & Co. intrinsically blends nature and science to bring the most efficacious products to market without sacrificing safety. The brand's mission to provide healthier skincare options is embodied through its undertaking of rigorous testing protocols to ensure clean, high-performance products. Committed to creating change and building community in the clean lifestyle and wellness categories.

Their clean commitments:

Indie Lee is Leaping Bunny Certified, cruelty-free, and printed on FSC certified paper. Indie Lee products are always formulated without parabens, silicones, sulfates, DEAs, TEAs, petrolatum, formaldehyde, lead, phthalates, toluene, talc and GMO ingredients.

Indie Lee & Co is grounded in nature, supported through science, and inspired by life.","Water (Aqua/Eau), Capryloyl/Caproyl Methyl Glucamide, Lauroyl/Myristoyl Methyl Glucamide, Coco Glucoside, Sucrose Cocoate, Glycerin, Spondias Mombin Pulp Extract, Mangifera Indica (Mango) Pulp Extract, Caprylic/Capric Triglyceride, Citrus Aurantium Dulcis (Orange) Peel Extract, Citrus Nobilis (Mandarin Orange) Fruit Extract, Rose Damascena Flower Extract, Vanilla Plantifolia Fruit Extract, Vitis Vinifera (Grape) Fruit Extract, Citrus Limon (Lemon) Peel Extract, Eugenia Caryophyllus (Clove) Flower Extract, Lavendula Angustifloia (Lavender) Flower/Leaf/Stem Extract, Jasminum Officinale (Jasmine) Flower Extract, Musa Sapientum (Banana) Pulp Extract, Citrus Reticulata (Tangerine) Fruit Extract, Arctium Lappa Root Extract, Xanthan Gum, Citric Acid, Sodium Benzoate, Potassium Sorbate, Propanediol, Pentylene Glycol (Natural), Phenethyl Alcohol (Natural) 98% Natural Origin Of Total.",4.3,,13 Reviews,https://www.ulta.com/purifying-face-wash?productId=pimprod2014419,2
8,cleanser,face wash,normal,Bliss,Makeup Melt Jelly Cleanser,Size 6.4 oz|,"Price
$13.00","Bliss' Makeup Melt Jelly Cleanser is:
A universal cleanser and eye makeup remover with soothing rose flower that is super gentle, yet amazingly effective - even for the most sensitive skin.
Unique milky jelly form balances gentleness with effective cleansing - a great alternative to sensitive skin cleansers that don't always feel like they get the skin clean
Easily dissolves makeup with a swipe of a cotton ball on dry skin; gently removes dirt, grime, makeup and impurities on wet skin
Leaves skin perfectly balanced, silky-soft, soothed, nourished
Cruelty-free. Vegan. Blissfully Free From: Parabens, Phthalates, Sulfates, Sodium Lauryl Sulfate (SLS), Sodium Laureth Sulfate (SLES), DMDM Hydantoin, Urea, Petrolatum, Mineral Oil, DEA/TEA/MEA/ETA, Formaldehyde","Water (Aqua) (Eau), Glycerin, Capryly/Capryl Glucoside, Hydroxyethyl Acrylate/Sodium AcryloyldimethylTaurateCopolymer, Panthenol, Tocopherol, Chamomilla Recutita(Matricaria) Flower Extract*, Rosa Centifolia Flower Extract, LavandulaAngustifolia(Lavender) Oil, Helianthus Annuus(Sunflower) Seed Oil, Glycine Soja(Soybean) Oil, Allantoin, Sodium CocoylApple Amino Acids, Sodium LauroylOat Amino Acids, SheaButter Ethyl Esters, Xylitylglucoside, Anhydroxylitol, Xylitol, Propanediol, Acacia Senegal Gum, Xanthan Gum, SheaButteramidopropylBetaine, Sodium Phytate, HexyleneGlycol, Caprylic/CapricTriglyceride, SorbitanIsostearate, Polysorbate 60, Isohexadecane, TetrasodiumEDTA, Phenoxyethanol, Ethylhexylglycerin, Benzoic Acid, Sodium Citrate, Citric Acid, Linalool *certified organic
Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",4,,461 Reviews,https://www.ulta.com/makeup-melt-jelly-cleanser?productId=xlsImpprod17921128,2
9,cleanser,face wash,normal,SUNDAY RILEY,Ceramic Slip Cleanser,Size 5 oz|,"Price
$35.00","Sunday Riley Ceramic Slip has a blend of four gentle, plant-based soaps that lift up and wash away dirt and impurities without stripping the skin. French green clay pulls dirt, oil, pollution, and makeup out of the pores while rice oil esters protect the skin from dehydration. Impurities are pulled out, clean hydration is pulled in. Formulated as a universal, foaming cleanser for even the most sensitive skin, Ceramic Slip leaves all skin types softer, cleaner, balanced, and radiant. Extremely gentle, this deep cleaning cleanser can be used daily, morning and night, for a healthier-looking complexion.","Water/ Eau/ Aqua, Octyldodecanol, Propanediol, Polyglyceryl-2 Caprate, Polyacrylate-33, Disodium Laureth Sulfosuccinate, Sodium Cocoyl Isethionate, Propylene Carbonate, Disteardimonium Hectorite, Caprylyl Glycol, Kaolin, Montmorillonite, Olive Oil Polyglyceryl-6 Esters, Rice Oil Glycereth-8 Esters, Sodium Phytate, Xanthan Gum, Pentylene Glycol, Sodium Lauroamphoacetate, Sodium Methyl Cocoyl Taurate, Coconut Acid, Laureth-10, Trisodium Sulfoccinate, Sodium Chloride, Phospholipids, Propylene Glycol, Benzoic Acid, Sodium Xylenesulfonate, Dehydroacetic Acid, PVP , DMDM Hydantoin, Bisabolol, Citrus Aurantium Amara (Bitter Orange) Flower Extract, Sodium Citrate, Methylisothiazolinone.",3.2,,33 Reviews,https://www.ulta.com/ceramic-slip-cleanser?productId=pimprod2007845,2
