,use_category,use_subcategory,skintype,brand,product,size,price,details,ingredients,ratings,perc_respondrec,total_reviews,link,page
0,cleanser,face wash,oily,Clinique,Fresh Pressed Renewing Powder Cleanser with Pure Vitamin C,Size 0.49 oz|,"Price
$31.00","Clinique Fresh Pressed Renewing Powder Cleanser with Pure Vitamin C is a water-activated powder cleanser with fresh vitamin C to purify, brighten, retexturize.

Ultrafine powder activates with water for an exhilarating cleansing experience that delivers visible benefits. Instantly skin is awakened, purified, with a refined texture and brighter look. Non-drying, non-stripping formula is gentle enough for use each morning, and preps skin for treatment with Clinique Fresh Pressed Daily Booster with Pure Vitamin C 10%.

Fresh means powerful. Pure vitamin C naturally degrades when exposed to oxygen, so it's most powerful when fresh. Stay-fresh packaging isolates the pure Vitamin C until activation, maintaining its freshness and full power for maximum results. For all skin types.

The System:
Simple, two step system contains pure vitamin C, one of the most powerful de-aging vitamins.
Specialized packaging isolates pure vitamin C until activation for maximum freshness and potency.
Delivers remarkable results in 7 days, and transformative de-aging benefits over time.

Clinique Clean Philosophy:
No parabens
No phthalates
No fragrance
Just happy skin

What else is this product free of?
Vegan
Oil Free
Free of Denatured Alcohol
Free of Synthetic Colours
SLS Free
SLES Free.

See results for Clinique's Fresh Pressed Renewing Powder Cleanser - Click here!","Water\Aqua\Eau, Ascorbic Acid, Glycerin, Dimethicone, Squalane, Butylene Glycol, Dipropylene Glycol, Acetyl Glucosamine, Cucumis Sativus (Cucumber) Fruit Extract, Hordeum Vulgare (Barley) Extract\Extrait D'Orge, Morus Nigra (Mulberry) Root Extract, Molasses Extract\Saccharum Officinarum\Extrait De Mélasse, Laminaria Digitata Extract, Scutellaria Baicalensis Root Extract, Acetyl Hexapeptide-8, Vitis Vinifera (Grape) Fruit Extract, Algae Extract, Palmitoyl Hexapeptide-12, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Alcaligenes Polysaccharides, Caffeine, Sucrose, Whey Protein\Lactis Protein\Protéine Du Petit-Lait, Betaine, Salicylic Acid, Glycine Soja (Soybean) Protein, Sodium Hyaluronate, Caprylyl Glycol, Sigesbeckia Orientalis (St. Paul'S Wort) Extract, Bis-PEG-18 Methyl Ether Dimethyl Silane, Propylene Glycol Dicaprate, Helianthus Annuus (Sunflower) Seedcake, Allyl Methacrylates Crosspolymer, Carbomer, Glyceryl Polymethacrylate, Tromethamine, Xanthan Gum, Potassium Sorbate, PEG-8, Polysorbate 20, Sodium Citrate, Disodium EDTA, Phenoxyethanol.

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",4.8,,37 Reviews,https://www.ulta.com/fresh-pressed-renewing-powder-cleanser-with-pure-vitamin-c?productId=xlsImpprod15621017,2
1,cleanser,face wash,oily,ACURE,Resurfacing Glycolic & Unicorn Root Cleanser,Size 4.0 oz|,"Price
$12.99","Amethyst? Rose quartz? True unicorn root? Is this some sort of magical amulet that our hero must find before she can defeat evil? Well...not really. It's ACURE's Resurfacing Glycolic & Unicorn Root Cleanser. But it is pretty amazing! And the tube is all glittery! Once upon a time brightening true unicorn root and hydrating hemp seed oil joined up with amethyst and rose quartz to defeat dull skin and goodness reigned again in the land of your face.

Key Ingredients:
Amethyst - provides antioxidants
Glycolic - gently exfoliates & refines
Lactic - gently exfoliates & refines
True Unicrn Root - provides antioxidant protection
Benefits:
100% Vegan
Cruelty-free
For all skin types
Formulated without parabens, sulfates, mineral oil, petrolatum, or formaldehyde","Water(Aqua), Sodium Cocoyl Isethionate, Glyceryl Stearate Se, Hydroxypropyl Starch Phosphate, Butyrospermum Parkii (Shea) Butter, Decyl Glucoside, Glyceryl Oleate, Glycerin, Phenethyl Alcohol, Hydrolyzed Jojoba Esters, Sodium Lauroyl Lactylate, Disodium Coco-Glucoside Citrate, Sclerotium Gum, Glyceryl Caprylate, Ethylhexylglycerin, Pelargonium Graveolens Flower Oil, Jojoba Esters, Lactic Acid, Glycolic Acid, Amethyst Extract, Aletris Farinosa (True Unicorn) Root Extract, Quartz, Cannabis Sativa (Hemp) Seed Oil, Euterpe Oleracea Fruit Extract*, Rubus Fruticosus (Blackberry) Fruit Extract*, Punica Granatum Extract*, Rosa Canina Fruit Extract*, Calendula Officinalis Flower Extract*, Chamomilla Recutita (Matricaria) Flower Extract*, Aspalathus Linearis Leaf Extract*.

*Organic Ingredient",4.4,,43 Reviews,https://www.ulta.com/resurfacing-glycolic-unicorn-root-cleanser?productId=pimprod2011687,2
2,cleanser,face wash,oily,Peter Thomas Roth,Water Drench Cloud Cream Cleanser,4.0 oz,"Price
$30.00","Gentle, frothy non-stripping, whipped cleanser and makeup remover. The rich and luxurious cloud-like foam glides over skin creating a cushion between the face and hands for a friction-free, heavenly cleansing experience.

Hyaluronic acid and sodium PCA help improve hydration for a more youthful-looking complexion. Silk proteins and marshmallow root extract leave skin silky, soft, and smooth. Suitable for the eye area. Washes clean leaving no residual. Alcohol-free, fragrance-free.","Water/Aqua/Eau, Sodium Cocoyl Isethionate, Glycerin, Glyceryl Stearate SE, Stearic Acid, Coconut Acid, Cetearyl Alcohol, Cocos Nucifera (Coconut) Oil, Sodium Caproyl Methyltaurate, Disodium Cocoamphodiacetate, Polyglyceryl-10 Myristate, Sodium Methyl Stearoyl Taurate, Sodium Hyaluronate, Althaea Officinalis Root Extract, Sambucus Nigra Fruit Extract, Sodium PCA, Glycol Distearate, Sodium Chloride, Sodium Isethionate, Xanthan Gum, Propylene Glycol, Sodium Hydroxide, Tetrasodium EDTA, Mica, Potassium Sorbate, Sodium Benzoate, Ethylhexylglycerin, Phenoxyethanol.",3.9,,75 Reviews,https://www.ulta.com/water-drench-cloud-cream-cleanser?productId=xlsImpprod16661053,2
3,cleanser,face wash,oily,Pacifica,Rose Kombucha Flower Powered Face Wash,Size 5.0 oz|,"Price
$10.00","Disobey time with the power of flowers and fermented tea in Pacifica's Rose Kombucha Flower Powered Face Wash. One of the best defenses against aging is clean skin, it gently removes makeup, oil and impurities. This light-foaming, sulfate-free cleanser balances and refreshes skin - helping to achieve an absolutely luminous complexion at any age.

Key Ingredients:
Rose
Fermented Tea
Benefits:
100% Vegan
Cruelty-free
For all skin types
Formulated Without:
Animal testing
Animal ingredients
Parabans
Phthalates
Mineral oil
Sulfates
Synthetic fragrances
Petroleum","Aqua, Sodium Cocoyl Isethionate, Disodium Laureth Sulfosuccinate, Cocamidopropyl Oxide, Cocamidopropyl Hydroxysultaine, Guar Hydroxypropyltrimonium Chloride, Cyamopsis Tetragonoloba (Guar) Gum, Glycol Distearate, Myristic Acid, Argania Spinosa (Argan) Kernel Oil, Olea Europaea (Olive) Fruit Oil, Saccharomyces/Xylinum/Black Tea Ferment, Rosa Canina Flower Extract, Cocos Nucifera (Coconut) Water, Sodium Citrate, Hydrolyzed Quinoa Protein, Hydrolyzed Rice Protein, Carica Papaya (Papaya) Extract, Sodium Hyaluronate, Phenoxyethanol, Ethylhexylglycerin, Citric Acid, Parfum (Natural).",4.8,,257 Reviews,https://www.ulta.com/rose-kombucha-flower-powered-face-wash?productId=xlsImpprod17762111,2
4,cleanser,face wash,oily,Pacifica,Coconut Milk Cream to Foam Face Wash,Size 5 oz|,"Price
$10.00","Superfood for your skin. Pacifica's innovative Coconut Milk Cream to Foam Face Wash gets perfectly bubbly to help lift dirt, makeup and debris to the surface so you can wash it away. A go-to in your skin's age fighting arsenal. Plus, it smells like a day at the beach.

All skin types: Especially stressed.

Smells like: coconut & vanilla

Ingredients we love:
coconut
vitamin E

100% Vegan and Cruelty-free.

Formulated without:
Animal testing
Animal ingredients
Parabens
Phthalates
Mineral oil
Sulfates
Synthetic fragrance
Petroleum

Every true beauty knows it's what's on the inside that matters.","Aqua, Myristic Acid, Potassium Hydroxide, Palmitic Acid, Cocamidopropyl Hydroxysultaine, Glycerin, Glycol Distearate, Cocoyl Methyl Glucamide, Sodium Methyl Cocoyl Taurate, Benzyl Alcohol, Parfum (Natural), Cocos Nucifera (Coconut) Fruit Powder, Sodium Phytate, Cocos Nucifera (Coconut) Water, Ethylhexylglycerin, Tocopherol (Vitamin E), Sodium Benzoate, Sorbic Acid, Leuconostoc/Radish Root Ferment Filtrate, Sodium Chloride.",4.5,,264 Reviews,https://www.ulta.com/coconut-milk-cream-foam-face-wash?productId=xlsImpprod17762129,2
5,cleanser,face wash,oily,Honest Beauty,Gentle Gel Cleanser,Size 5.0 oz|,"Price
$13.00","Your skin is up against a lot - impurities, air conditioning, hot showers, sweat, tears, never enough sleep... everyday life. Throw makeup into the mix and you're going to need the wunderkind of face wash to keep your skin thriving. Enter, Honest Beauty Gentle Gel Cleanser. With its soothing botanical blend of chamomile and calendula, the gentle gel formula helps to calm as it cleanses, removes makeup, and is mild enough to use morning and night without over-drying skin. Hello, clean streak! Goodbye, makeup and impurities.

Key Ingredients:
Chamomile & Calendula Extracts - botanical blend to help calm & soothe
Benefits:
Cruelty Free
Dermatologist Tested
Toxicologist Audited
Hypoallergenic
A day-and-night skincare staple for all skin types
Gently removes makeup and impurities
Made without parabens, phthalates, SLS, dyes, SLES, PEGs & synthetic fragrances","Water (aqua), Sodium Laurylglucosides Hydroxypropylsulfonate, Glycerin, Sodium Methyl Cocoyl Taurate, Cocamidopropyl Hydroxysultaine, Sodium Chloride, Sorbitol, Sodium Lauryl Glucose Carboxylate, Lauryl Glucoside, Calendula Officinalis Flower Extract, Chamomilla Recutita (matricaria) Flower Extract, Yucca Schidigera Root Extract, Saponaria Officinalis Extract, Leuconostoc/radish Root Ferment Filtrate, Hydrolyzed Quinoa, Lavandula Angustifolia (lavender) Oil, Lavandula Hybrida Oil, Pelargonium Graveolens Flower Oil, Pogostemon Cablin Leaf Oil, Anthemis Nobilis Flower Oil, Cymbopogon Martini Oil, Abies Sibirica Oil, Gluconolactone, Potassium Sorbate, Sodium Benzoate, Coconut Acid, Sodium Citrate, Citric Acid, Sorbic Acid, Linalool.",4.5,,37 Reviews,https://www.ulta.com/gentle-gel-cleanser?productId=pimprod2015199,2
6,cleanser,face wash,oily,Shiseido,Deep Cleansing Foam,Size 4.4 oz|,"Price
$36.00","This Deep Cleansing Foam from Shiseido is a foaming cleanser that effectively removes sebum and pollutants to tone the pores, leaving skin fresh and smooth. Formulated for Oily to Blemish-Prone Skin and featuring InternalPowerResist technology, this cleanser helps remove impurities while softening and strengthen the skin. To be used daily, in the morning and evening as the first step in your skincare regimen.

Dermatologist tested

Immediately after use:
-92% said it softens my skin and lifts away dirt and impurities
-91% said it lifts away sebum, leaving my skin feeling fresh
-81% said it removes dirt and impurities deep inside my pores

After 2 weeks:
-87% said it clarifies my skin
-86% said it promotes smooth absorptions of any skincare that follows
-85% said it keeps my skin feeling fresh

Test Site: France
Test Period: Apr. 2017
Sample: 112

Primary benefits:
Lathers and rinses off easily for Oily to Blemish-Prone Skin
Contains sebum-absorbing powder and cleansing granules to effectively remove pore-clogging impurities, pollutants, and oxidized sebum for a clear, radiant finish
Rice Germ Oil helps skin feel soft and removes impurities. The skin-wrapping ingredients remain after cleansing, to keep skin clean and refreshed, with no tightness
Infused with Peony Root and Yomogi extract for healthy-looking skin.
Secondary benefits:
Inspired by the bathing ritual of the Japanese, this Deep Cleansing Foam contains pure Kirishima mineral spring water from Japan to support skin¿s minerals for healthy-looking skin and to prepare skin for the treatment products that follow
Features the comforting scent of ImuCalm Compound that contains soothing fragrance ingredients of rose and lotus elements and a green floral fragrance that evokes a sense of relaxation and new energy","Water (Aqua/Eau),Stearic Acid,Peg-8,Myristic Acid,Glycerin,Potassium Hydroxide,Butylene Glycol,Lauric Acid,Glyceryl Stearate Se,Sorbitol,Beeswax(Cera Alba/Cire D'abeille),Sodium Lauryl Glycol Carboxylate,Sodium Methyl Cocoyl Taurate,Fragrance (Parfum),Microcrystalline Cellulose,Disodium Edta,Water (Aqua),Menthol,Oryza Sativa (Rice) Germ Oil,Talc,Ethylcellulose,Linalool,Geraniol,Citronellol,Sodium Metabisulfite,Acrylates Copolymer,Ultramarines (Ci 77007),Paeonia Albiflora Root Extract,Silica,Betaine,Silk Powder(Serica/Poudre De Soie),Dipotassium Glycyrrhizate,Tetrasodium Edta,Tocopheryl Acetate,Sodium Lauryl Sulfate,Benzoic Acid,Tocopherol.",4.5,,43 Reviews,https://www.ulta.com/deep-cleansing-foam?productId=xlsImpprod18971063,2
7,cleanser,face wash,oily,Philosophy,Nature In A Jar Gentle Detoxifying Cleanser With Agave,Size 8.0 oz|,"Price
$29.00","Nature In A Jar Gentle Detoxifying Cleanser With Agave is a gentle detoxifying cleanser with comforting complex that leaves skin conditioned, balanced and refreshed. Made with Philosophy's exclusive agave cryoextract known to have strong anti-oxidant benefits. The cryoextraction process freezes the plant and extracts the active components from the frozen fresh plant. This limits oxidation and preserves all of the most fragile components of the plant, including enzymes, vitamins and polyphenols.

Formulated with a natural origin ingredient index of 95.1% and without parabens, phthalates, sulfates (SLS, SLES), and 30+ more. Not tested on animals, vegan & gluten free. Eco-responsible packaging made up of 100% post consumer recycled material (not including the cap).

Results:
Immediately skin feels comfortable, balanced and healthy*
In 1 week skin feels nourished and replenished*

* 1-week self-assessment study with 100 women aged 30 - 50.","Aqua/Water/Eau, Stearic Acid, Glycerin, Myristic Acid, Potassium Hydroxide, Lauric Acid, Potassium Cocoyl Glycinate, 1,2-Hexanediol, Caprylyl Glycol, Cocamidopropyl Betaine, Glyceryl Stearate, Hydroxypropyl Methylcellulose Stearoxy Ether, Simmondsia Chinensis (Jojoba) Seed Oil, Sodium Pca, Sodium Chloride, Adansonia Digitata Seed Oil, Citrullus Lanatus (Watermelon) Seed Oil, Glyceryl Caprylate, Glyceryl Undecylenate, Propanediol, Aloe Barbadensis Leaf Juice, Adansonia Digitata Fruit Extract, Phospholipids, Xanthan Gum, Agave Americana Leaf Extract, Sodium Hyaluronate, Citric Acid, Sodium Benzoate, Potassium Sorbate.",4.2,,152 Reviews,https://www.ulta.com/nature-in-a-jar-gentle-detoxifying-cleanser-with-agave?productId=pimprod2012763,2
8,cleanser,face wash,oily,Cetaphil,Foaming Facial Cleanser,Size 8 oz|,"Price
$8.99","Cetaphil Gentle Foaming Cleanser is an instant foaming facial cleanser that effortlessly removes dirt, oil and makeup. Infused with skin conditioners and a vitamin complex, it softens as it cleans without stripping skin of its natural moisture balance. The result is clean skin that feels fresh and healthy. This cleanser is fragrance free and dermatologist tested and is clinically shown to be non-irritating, hypoallergenic and non-comedogenic.

Benefits:
Effective yet gentle cleansing: Cetaphil Foaming Cleanser effortlessly removes dirt, oil and makeup without leaving skin feeling dry or tight. Gentle enough for everyday use on all skin types.
Softens as it cleans: Infused with skin conditioners and a vitamin complex, it softens as it cleans without stripping skin of its natural moisture balance.
Instant foaming action: Self-foaming pump produces rich, airy lather that rinses away easily.
Fragrance free, non-irritating & non-comedogenic: This fragrance free facial cleanser is non-irritating and non-comedogenic so it won't clog pores or irritate sensitive skin.
Dermatologist tested & sensitive skin approved: Like all Cetaphil cleansers, this product has been tested by dermatologists and is clinically shown to be gentle on sensitive skin.",,4.1,,43 Reviews,https://www.ulta.com/foaming-facial-cleanser?productId=xlsImpprod17762039,2
9,cleanser,face wash,oily,Pacifica,Kale Detox Deep Cleaning Face Wash,Size 5.0 oz|,"Price
$10.00","One of the best defenses against blemishes and breakouts is consistently clean skin. Fortified with super green phytonutrients including kale, seaweed and blue seakale along with tropical beneficials of mangosteen and coconut water, Pacifica's formula is designed to deeply cleanse and remove makeup, toxins and impurities from the skin both day & night. For oily & blemmish prone skin types. Formulated without silicone, animal ingredients, petroleum, parabens and phthalates.","Agua, Glycerin, Xanthan Gum, Bentonite Clay, Kaolin, Cocosnucifera (Coconut) Water, Sodium Lauryl Glusose Carboxylate, Lauryl Glucosie, Decyl Glucoside, Sodium Cocoyl Glutamate, Dicapglyceryl Oleate, Brassica Oleracea, Acephala (Kale Extract, Crambe Maritima Leaf (Blue Seakale) Extract, Garcinia Mangostana (Magosteen) Extract, Phenoxyethanol, Panthenol (Vitamin B) Tocopheryl, Citric Acid, Partum (All Natural).",4.2,,817 Reviews,https://www.ulta.com/kale-detox-deep-cleaning-face-wash?productId=xlsImpprod12931181,2
