,use_category,use_subcategory,skintype,brand,product,size,price,details,ingredients,ratings,perc_respondrec,total_reviews,link,page
0,cleanser,toner,dry,Mario Badescu,"Facial Spray With Aloe, Herbs and Rosewater",4.0 oz,"Price
$7.00","Whether spritzed for a hydrating boost or midday pick-me-up, this cult-favorite face mist helps revive dehydrated skin with a dewy glow anytime, anywhere. A floral infusion of Aloe, Rose, and Gardenia boosts the complexion - leaving skin radiant and re-energized.

#MBSkinTip: Mario Badescu Facial Sprays are meant to multi-task! Use it to before moisturizer to boost hydration, to dampen makeup brushes and sponges, as a final step after makeup application to give your look a dewy finish, and to refresh your face (and mood!) throughout the day.","Aqua (Water, Eau), Propylene Glycol, Aloe Barbadensis Leaf Juice, Rosa Canina Extract, Thymus Vulgaris (Thyme) Leaf Extract, Fucus Vesiculosus (Bladderwrack) Extract, Gardenia Florida Fruit Extract, Caprylyl Glycol, Hexylene Glycol, Polysorbate 20, Parfum (Fragrance), Phenoxyethanol, Sodium Chloride, Citronellol, Geraniol, CI 17200 (Red 33), CI 42090 (Blue 1)",4.6,,8114 Reviews,https://www.ulta.com/facial-spray-with-aloe-herbs-rosewater?productId=xlsImpprod6200727,1
1,cleanser,toner,dry,Thayers,Alcohol-Free Witch Hazel Facial Toner,4.0 oz,"Price
$10.95","Thayers Alcohol-Free Witch Hazel Toner is formulated with aloe vera and witch hazel extract in order to soothe and naturally cleanse the skin.

Rose Petal Toner Benefits:
Made with rose-petal water
Formulated with proprietary witch hazel extract","Purified Water, Glycerin, Certified Organic Witch Hazel Extract Blend (Hamamelis Virginiana Extract (Witch Hazel*), Aloe Barbadensis Leaf Juice (Filet of Aloe Vera*)), Rosa Centifolia (Rose) Flower Water, Natural Fragrance, Citrus Grandis (Grapefruit) Seed Extract, Phenoxyethanol, Caprylyl Glycol, Ethylhexylglycerin, Citric Acid, Potassium Hydroxide.

* Denotes Certified Organic Ingredients

The carefully selected, naturally sourced ingredients in this product may have undergone limited processing. Variations in color, clarity, etc. can be expected from lot to lot due to use of naturally occurring ingredients.",4.3,,372 Reviews,https://www.ulta.com/alcohol-free-witch-hazel-facial-toner?productId=pimprod2006476,1
2,cleanser,toner,dry,INDIE LEE,CoQ-10 Toner,,"Price
$34.00","Indie Lee CoQ-10 Toner hydrates and rebalances the skin with Hyaluronic Acid and Aloe Vera. Alcohol-free and formulated with antioxidant CoQ-10 and Sage, this non-drying formula leaves skin primed and protected from pollution and environmental aggressors.

Recommended For:
All Skin Types
Rebalance
Oiliness
Dry, dehydrated skin

Benefits:
Vegan
Cruelty-Free
Non-GMO
Paraben-Free
Silicone-Free

About Indie Lee:

In 2008, Indie Lee was diagnosed with a life-threatening brain tumor that doctors felt could be environmentally derived and attributed to something as simple as what she was putting on her skin. After learning that up to 60% of what we apply to our skin may be absorbed in as little as 26 seconds, Indie had her awakening. She embarked upon a wellness journey to create a clean beauty collection dedicated to inspiring and empowering others to be mindful about what they put on their skin as well as into their bodies.

Sourcing the world's finest ingredients and formulating with the help of leading, like-minded chemists, Indie Lee & Co. intrinsically blends nature and science to bring the most efficacious products to market without sacrificing safety. The brand's mission to provide healthier skincare options is embodied through its undertaking of rigorous testing protocols to ensure clean, high-performance products. Committed to creating change and building community in the clean lifestyle and wellness categories.

Their clean commitments:

Indie Lee is Leaping Bunny Certified, cruelty-free, and printed on FSC certified paper. Indie Lee products are always formulated without parabens, silicones, sulfates, DEAs, TEAs, petrolatum, formaldehyde, lead, phthalates, toluene, talc and GMO ingredients.

Indie Lee & Co is grounded in nature, supported through science, and inspired by life.","Water (Aqua/Eau), Aloe Barbadensis, Ubiquinone (Coenzyme Q10), Hyaluronic Acid, Anthemis Nobilis (Chamomile), Salvia Officinalis (Sage), Carica Papaya Leaf Extract, Cucums Sativus (Cucumber) Extract, Citrus Aurantium Flower Oil, Propanediol, Ethylhexylglycerin, Potassium Sorbate.",4.6,,26 Reviews,https://www.ulta.com/coq-10-toner?productId=pimprod2014417,1
3,cleanser,toner,dry,Lancôme,Tonique Confort Re-Hydrating Comforting Toner with Acacia Honey,,"Price
$31.00","Lancôme's Tonique Confort Re-Hydrating Comforting Facial Toner with Hyaluronic Acid, Acacia Honey & Sweet Almond Oil is the #1 Toner in the World!* Lancôme's Tonique Confort Re-Hydrating Comforting Facial Toner is a soothing, alcohol-free facial toner that improves skin hydration in just 15 minutes, with a silky, serum texture that gently cleanses, preps skin and reveals a visible glow.

Skintype: For all skin types, even sensitive skin.

Skincare Concerns: Dryness, Dullness and Uneven Texture

What Else You Need To Know:
Made with Hyaluronic Acid, Acacia Honey and Sweet Almond Oil, Tonique Confort's milk-like texture is easily spread and quickly absorbed. It glides on skin as it nourishes and gently removes impurities, dirt, excess oils and leftover makeup residues for perfectly clean and clear skin.
Instantly: skin is softer and visibly smoother, feels soothed with feelings of tightness reduced
In just 15 minutes: skin hydration is improved
Day after day: skin tone is visibly more radiant and more luminous

Ingredient Callouts:
Alcohol-free, Paraben-free, Sulfate-free, Silicone-free
Hyaluronic Acid - Known for its potent ability to enhance skin's water retention and improve skin elasticity
Acacia Honey - Known for its moisturizing, soothing and antioxidant properties
Sweet Almond Oil - Known for its strong emollient and moisturizing properties

*Product benefits are based on the testing the product formula, not individual ingredients.

Beauty Awards: 2019 Best Prestige Toner, Influenster Reviewer's Choice Winner

*Sources: The NPD Group, lnc./BeautyTrends Italy, France, UK, Germany, Spain, US, Canada & Mexico Selective Markets, Prestige brands. Rolling Year ending August 19; Lancôme calculation is based in part on data reported by Beauté Research SARL in August 2019 through its ""Asia 7 Markets - Quarterly Retail Sales Report - Q2 2019"" in the Department Stores and Boutiques Prestige market. (Copyright 2019 Beauté Research SARL).

Clinical Results*:
Dermatologist-tested for safety
94% agree Tonique Confort instantly leaves skin perfectly clean and clear
89% agree skin instantly seems softer
95% agree Tonique Confort instantly perfects makeup removal
89% agree Tonique Confort has a fresh texture

*Based on 4-week consumer self-assessments","Aqua / Water / Eau, Butylene Glycol, Glycerin, Cyclopentasiloxane, Phenoxyethanol, Isopropyl Palmitate, Peg-60 Hydrogenated Castor Oil, Triethanolamine, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Methylparaben, Mel / Honey / Miel, Mannitol, Parfum / Fragrance, Tocopheryl Acetate, Propylparaben, Sodium Hyaluronate, Cyclodextrin, Prunus Amygdalus Dulcis Protein / Sweet Almond Protein, Hexyl Cinnamal, Faex / Yeast Extract / Extrait De Levure, Alpha-Isomethyl Ionone, Disodium Succinate, CI 14700 / Red 4.",4.8,,1090 Reviews,https://www.ulta.com/tonique-confort-re-hydrating-comforting-toner-with-acacia-honey?productId=xlsImpprod3650048,1
4,cleanser,toner,dry,Clinique,Acne Solutions Clarifying Lotion,Size 4.2 oz|,"Price
$17.50","Clinique's Acne Solutions Clarifying Lotion is a medicated formula that exfoliates, reduces excess oil that can lead to breakouts, unclogs pores, and controls excess shine. Formulated for acne-prone skins.

What It Is:
Gentle, medicated liquid exfoliator reduces excess oil and shine, mattifies skin, and unclogs pores.

What It Does:
Liquid exfoliator powered by salicylic acid helps keep skin clearer and controls shine.
Exfoliating ingredients sweep away dead surface cells and reduce excess oil that can lead to breakouts.
Oil-absorbing powders help eliminate shine.
Leaves skin feeling clean and fresh.

Key Ingredients:
Salicylic acid and acetyl glucosamine: Help clear dead skin cells that can contribute to clogged pores.
Silica: Absorbs excess oil to give skin a matte look.

Try Clinique's Clear Skin System. A consistent, non-irritating routine helps get breakouts under control. Clinique's Acne Solutions Clear Skin System helps get skin clear, and keep it that way.

Cleanse: Acne Solutions Cleansing Foam or Cleansing Gel
Exfoliate: Acne Solutions Clarifying Lotion
Treat: Acne Solutions Clinical Clearing Gel

Use with Dramatically Different Moisturizing Gel for lightweight, oil-free hydration.

Clinique Clean Philosophy:
No parabens
No phthalates
No fragrance
Just happy skin

What else is this product free of? Oil, synthetic colors, SLS, SLES, gluten.

Explore Clinique's Acne Solutions - Click here!","Active: 2.0% Salicylic Acid. Inactive: Water / Aqua / Eau, Alcohol Denat., Nylon-12, Butylene Glycol, Hamamelis Virginiana (Witch Hazel), Laminaria Saccharina Extract, Caffeine, Sucrose, Glycerin, Acetyl Glucosamine, Sorbitol, Sea Whip Extract, Barium Sulfate, 10-Hydroxydecanoic Acid, Silica, Disodium EDTA, Benzalkonium Chloride.

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",4.7,,721 Reviews,https://www.ulta.com/acne-solutions-clarifying-lotion?productId=xlsImpprod10791817,1
5,cleanser,toner,dry,Tula,Get Toned Pro-Glycolic 10% Resurfacing Toner,Size 6.8 oz|,"Price
$34.00","Want smooth, even toned skin? Tula's Pro-Glycolic 10% pH Resurfacing Gel is an alcohol-free toner that uses probiotics, glycolic acid, and beetroot extract to gently exfoliate the skin, and leave it looking smooth, hydrated and more even. The alcohol-free gel formula removes impurities to allow for better absorption of skin care products, while also delivering hydration to the skin. Skin is left looking smoother, more even-toned, and prepped for the rest of your skin care routine.



The Tula Difference:

Probiotics: The core ingredient of all TULA products help lock in moisture and soothe the appearance of inflammation

Superfoods: Natural mushroom, beet, turmeric, and blueberry extracts work wonders on the skin, thanks to their hydrating, anti-inflammatory, and antioxidant properties


TULA products are 100% free from phthalates, parabens, toxins, carcinogens, mineral oil, sodium laurel sulfate, and harmful preservatives



All products are cruelty-free","Aqua/Water/Eau, Glycolic Acid, Butylene Glycol, Lactococcus Ferment Lysate, Sodium Hydroxide, Lactic Acid, Sodium Hyaluronate, Agar, Glycerin, Tremella Fuciformis Sporocarp Extract, Camellia Sinensis Leaf Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Curcuma Longa (Turmeric) Root Extract, Cichorium Intybus (Chicory) Root Extract, Yogurt Extract, Carrageenan, Betaine, Glucose, Linum Usitatissimum (Linseed) Seed Oil, Xanthan Gum, Potassium Sorbate, Disodium EDTA, Sodium Chloride, Sodium Benzoate, Polysorbate 20, Tetrasodium Edta, Ethylhexylglycerin, Phenoxyethanol.",4.7,,838 Reviews,https://www.ulta.com/get-toned-pro-glycolic-10-resurfacing-toner?productId=xlsImpprod18731043,1
6,cleanser,toner,dry,Dermalogica,Multi-Active Toner,Size 6.7 oz|,"Price
$41.00","Spritz on critical hydration with this refreshing blend of skin-repairing Aloe, moisture-binding humectants plus soothing Lavender, Balm Mint and Arnica. Contains no artificial fragrance or color. Professional recommendation advised.

How it works:
Lavender Extract, a natural antiseptic, soothes and purifies the skin.
Balm Mint and Aloe Vera cool and soften the skin.
Extracts of Arnica and Cucumber, natural skin fresheners, help condition skin.
Moisture-binding proteins act as humectants to allow for more effective moisture absorption.

Have questions about your skin? Click here to get a professional skin analysis with Dermalogica's AI driven technology, Face Mapping.

We recommend that first-time Dermalogica users visit an authorized skin treatment professional for a client consultation in an ULTA store.

View Dermalogica skin treatments at all ULTA locations. Book your appointment today.","Extracts Of: Lavender(Lavandula Angustifolia), Balm Mint(Melissa Officinalis); Aloe Barbadensis Gel, Butylene Glycol, Sodium Lactale, Sodium PCA, Sorbitol, Proline, Propylene Glycol, Extracts Of: Mallow(Malva Sylvestris), Ivy(Hedera Helix), Cucumber(Cucumis Sativus), Sambucus Nigra, Arnica Montana, Pellitory(Parietaria Officinalis); Ricinoleth-40, Methyl Gluceth-20, Sorbic Acid, Benzophenone-$, Polysorbate 20, Disosium EDTA, Diazolidinyl Urea, Methylparaben.",4.6,,681 Reviews,https://www.ulta.com/multi-active-toner?productId=prod2152653,1
7,cleanser,toner,dry,PEACH & LILY,The Good Acids Pore Toner,Size 3.0 oz|,"Price
$39.00","WHAT IT IS: Gentle enough for daily exfoliation (on even the most sensitive skin), The Good Acids Pore Toner helps gently slough away dead skin cells and get you prepped for the rest of your skincare routine. The perfect pre-treatment formula, this pH-adjusting toner works harmoniously with other acids and more intensive treatments.

RECOMMENDED FOR:
Clogged pores, acneic skin
Dullness
Rough texture

WHAT'S IN IT FOR YOU: Designed to encourage the loosening of dead skin cells, this game-changing formula includes a pore-refining blend of AHA, salicylic acid, and other ingredients hand-picked to keep your complexion clear. Promising to clean skin without overdoing it- so it's not left raw or over-exfoliated- Peach & Lily's Good Acids Pore Toner also includes Cape Lilac, Eggplant and Turmeric Extracts as well as Allantoin and Aloe to soothe and nourish. Think of this balancing formula as a refreshing way to keep your pores in check every day.

THE MIND BEHIND: Peach & Lily's founder, Alicia Yoon, is a celebrated esthetician and a leading skincare expert. Working with top-tier labs in Korea, she developed The Good Acids Pore Toner as a daily treatment for healthy radiant skin. While the brand's Super Reboot Resurfacing Mask helps to completely retexturize and resurface skin for a total reboot, The Good Acids Pore Toner offers everyday pore maintenance. For those with oily and acne-prone skin, using both together can help you fight what Alicia calls the ""blackhead, whitehead and acne curve."" As per the Peach & Lily philosophy, they set out to create formulas that work well alone and in combination, and can be mixed and matched based on your unique skin type and needs.

THE PEACH & LILY PROMISE: Caring for your skin can be overwhelming. You might be tired of the skincare guessing game as you try to figure out what will work for you. You want products that deliver dramatic results, but you're worried they will be too harsh or make you break out. You want delightful textures, but want to avoid chemicals and harmful ingredients. Peach & Lily is all too familiar with trial and error, trade-offs, and compromises when it comes to skincare.

The innovative beauty brand created the Peach & Lily skincare collection to deliver everything you want without worries or guesswork. Pushing the limits of innovation by combining breakthrough research and proven skincare traditions, you will enjoy dramatic results, delivered in a radically safe and delightful way. Peach & Lily formulas feature powerful, clinically-proven ingredients, thoughtfully crafted to be gentle and safe. In short, you get big results with a beautiful experience, and zero compromises. Who says you can't have it all?

WHAT'S NOT IN IT: Only good, clean fun here. There are NO Animal Fats/Oils/Musks, Benzalkonium Chloride, Benzophenone, Bisphenol A (BPA), Butoxyethanol, BHA, BHT, Chemical Sunscreens, Coal Tar Dyes, -Cones, Detergent, Disodium EDTA, Polysorbates, MEA/DEA/TEA, Formaldehyde, Hydroquinone, Methyl Cellosolve, Methylisothiazolinone, Methylchloroisothiazolinone, Mercury, Mercury Compounds, Mineral Oil, Oxybenzone, Parabens, Paraffin Oil, Petrolatum, Phthalates, PEGs, Polysorbates, Resorcinol, Siloxanes, Sulfates, Synthetic Fragrance, Thimerosal, Toluene, Triclosan, and Triclocarban. And never ever any animal-testing.","Water, Glycerin, Propanediol, 1,2-Hexanediol, Curcuma Longa (Turmeric) Root Extract, Allantoin, Aloe Barbadensis Flower Extract, Glycolic Acid, Portulaca Oleracea Extract, Ocimum Sanctum Leaf Extract, Potassium Hydroxide, Butylene Glycol, Amino Esters-1, Solanum Melongena (Eggplant) Fruit Extract, Coccinia Indica Fruit Extract, Lawsonia Inermis (Henna) Extract, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Ethylhexylglycerin, Salicylic Acid, Corallina Officinalis Extract.",4.5,,119 Reviews,https://www.ulta.com/good-acids-pore-toner?productId=xlsImpprod18971033,1
8,cleanser,toner,dry,COSRX,AHA/BHA Clarifying Treatment Toner,Size 8.4 oz|,"Price
$19.00","COSRX AHA/BHA Clarifying Treatment Toner is an exfoliating daily toner that effectively eliminates flakes and dead skin cells while keeping pores clear. Infused with natural clarifying acids, this treatment toner controls excess oil and sebum while hydrating depleted skin. Best for all skin types, especially dull, and dry skin prone to pore congestion.

Key Ingredients:
Willow Bark Water: Controls oil and calms the look of redness
Glycolic Acid: Brightens, exfoliates, and softens skin
Betaine Salicylate: Fights bacteria and decongests clogged pores

Benefits:
Gently exfoliates dead skin cells
Smooths and softens overall skin texture
Helps hydrate and replenish dull, dry skin
Controls excess oil and refines the appearance of pores
Prepares skin for better absorption for the rest of your skin care routine
pH: 4-5

All COSRX products are dermatologist-tested, hypoallergenic, cruelty-free, paraben-free, sulfate-free, phthalate-free, and alcohol-free.","Water, Salix Alba (Willow) Bark Water, Pyrus Malus (Apple) Fruit Water, Butylene Glycol, 1,2-Hexanediol, Sodium Lactate, Glycolic Acid, Betaine Salicylate, Allantoin, Panthenol, Ethyl Hexanediol.",4.4,,146 Reviews,https://www.ulta.com/ahabha-clarifying-treatment-toner?productId=xlsImpprod15641050,1
9,cleanser,toner,dry,PEACH & LILY,Lazy Day's All-In-One Moisture Pad,Size 3.38 oz|,"Price
$39.00","We've all been there: already in bed and too tired to get up or heading straight from the gym to a night out. Because skincare doesn't have to be all or nothing, here's a beauty hack you can use in place of almost every step in your daily routine. Peach & Lily's Lazy Day's All-in-One Moisture Pads deliver the effects of a toner, essence and moisturizer in just one swipe. Packed with vitamins and antioxidants thanks to Ceramides, Hyaluronic Acid, Spinach, Broccoli, Carrot, Pomegranate, and Bamboo Extracts, these hydrating pads act like a green juice for your face, imparting rich, refreshing nourishment. Perfect for lazy or super busy- days (and everything in between), you'll look dewy, nourished and highlighted from within. Turns out, some things are not too good to be true.

RECOMMENDED FOR:
Dark spots, uneven tone
Dullness, dehydration (Alicia's Tip: dehydrated skin lacks moisture. Oily skin types can have dehydrated skin, too)
Skin lacking nourishment

WHAT'S IN IT FOR YOU: Combined in a soaked moisture pad that delivers a bevy of skincare benefits deep into pores, this unique formula refreshes and hydrates, leaving skin looking radiant. Starring Ceramides to help strengthen the skin barrier, Hyaluronic Acid to bind moisture to the skin, Bamboo Extract to soothe and hydrate, along with superfood ingredients- Spinach, Broccoli, Carrot, and Pomegranate Extracts- which blast the skin with a bevy of vitamins, minerals and antioxidants, you'll feel nourished in no time. No shimmer, glitter or makeup here, just a dewy glow that brings to mind just-stepped-out-of-the-shower-freshness. With all this skin goodness, who needs a foundation?

THE MIND BEHIND: When it comes to skincare, consistency brings radiance. So many clients of Peach & Lily founder and esthetician, Alicia Yoon, would remark that one of the biggest challenges is to stick to a good routine. In real life, late nights or rushed early mornings happen, and sometimes the bathroom sink is simply too far away. A common refrain is ""I'll start tomorrow."" Well, tomorrow can be today. Thanks to these fast-acting pads, you'll be armed to stay hydrated and nourished, everyday, consistently. Keep this travel-friendly jar by your side for those days you just can't be bothered, and your skin will thank you for years to come.

WHAT'S NOT IN IT: Only good, clean fun here. There are NO Animal Fats/Oils/Musks, Benzalkonium Chloride, Benzophenone, Bisphenol A (BPA), Butoxyethanol, BHA, BHT, Chemical Sunscreens, Coal Tar Dyes, Cones, Detergent, Disodium EDTA, Polysorbates, MEA/DEA/TEA, Formaldehyde, Hydroquinone, Methyl Cellosolve, Methylisothiazolinone, Methylchloroisothiazolinone, Mercury, Mercury Compounds, Mineral Oil, Oxybenzone, Parabens, Paraffin Oil, Petrolatum, Phthalates, PEGs, Polysorbates, Resorcinol, Siloxanes, Sulfates, Synthetic Fragrance, Thimerosal, Toluene, Triclosan, and Triclocarban. And never ever any animal-testing.","Water, Butylene Glycol, Glycerin, 1,2-Hexanediol, Betaine, Panthenol, Sodium Hyaluronate, Spinacia Oleracea (Spinach) Leaf Extract, Daucus Carota Sativa (Carrot) Root Extract, Brassica Oleracea Italica (Broccoli) Extract, Brassica Oleracea Capitata (Cabbage) Leaf Extract, Brassica Oleracea Acephala Leaf Extract, Ceramide NP, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Cetearyl Olivate, Allantoin, Punica Granatum Fruit Extract, Prunus Persica (Peach) Fruit Extract, Lactobacillus/Soybean Ferment Extract, Hydrogenated Lecithin, Sorbitan Olivate, Ethylhexylglycerin, Xanthan Gum, Sodium Phytate, Sorbitan Isostearate, Sodium Citrate, Citric Acid, Opuntia Ficus-Indica Stem Extract, Bambusa Vulgaris Water, Caprylic/Capric Triglyceride, Phytosteryl/Octyldodecyl Lauroyl Glutamate, Pentylene Glycol, Caprylyl Glycol, Citrus Aurantium Bergamia (Bergamot) Fruit Oil.",4.6,,150 Reviews,https://www.ulta.com/lazy-days-all-in-one-moisture-pad?productId=xlsImpprod18971029,1
