,use_category,use_subcategory,skintype,brand,product,size,price,details,ingredients,ratings,perc_respondrec,total_reviews,link,page
0,moisturizer,face moisturizer,normal,StriVectin,Tightening & Sculpting Face Cream,Size 1.7 oz|Item 2307855,"Price
$95.00","This intensely nourishing face cream not only moisturizes skin, but visibly plumps and lifts to improve the appearance of facial definition. The Gravifill-CS Shaping Complex targets volume loss -which causes skin to sag - and visibly sculpts facial contours. Skin appears more defined and voluminous. Patented NIA-114 technology strengthens skin's moisture barrier for deeply hydrated, replenished and supple skin.

Key Benefits:
Plump, lift and firm the appearance of skin
Visibly sculpt and define facial contours
Deeply hydrate, nourish and replenish skin
95% reported skin looks firmer/more toned*
90% reported skin looks tightened*
*Based on consumer evaluation at 4 weeks, when used as directed

StriVectin products are:
cruelty free
paraben free
suitable for all skin types

StriVectin is a collection of smart, targeted solutions for aging and changing skin. They combine advanced, high-performance skincare ingredients with their patented NIA-114 technology to deliver real, visible, clinically proven results.","Aqua (Water, Eau), Stearic Acid, Neopentyl Glycol Diethylhexanoate, C12-15 Alkyl Benzoate, Cyclopentasiloxane, Glycol Distearate, Cetearyl Alcohol, Myristyl Nicotinate, Phenoxyethanol, Cetyl Alcohol, Butylene Glycol, Butyrospermum Parkii (Shea) Butter, Polysorbate 60, Isostearyl Isostearate, Potassium Cetyl Phosphate, Cetyl Stearate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sucrose Palmitate, Tocopherol, Pullulan, Allantoin, Panthenol, Orinthine, Propanediol, Phospholipids, Caprylic/Capric Triglyceride, Ethylhexylglycerin, Aesculus Hippocastanum (Horse Chestnut) Bark Extract, Disodium EDTA, Paeonia Albiflora Root Extract, Sodium Hydroxide, Glyceryl Linoleate, Nannochloropsis Oculata Extract, Sorbitan Laurate, Glycolipids, Sodium Hyaluronate, Commiphora Mukul Resin Extract, Hydroxyethylcellulose, Acetyl Dipeptide-1 Cetyl Ester, Potassium Sorbate, Citric Acid, Fragrance (Parfum).",4.5,92%,1083 Reviews,https://www.ulta.com/tightening-sculpting-face-cream?productId=xlsImpprod14631103,2
1,moisturizer,face moisturizer,normal,Neutrogena,Bright Boost Gel Cream,Size 1.7 oz|Item 2554007,"Price
$26.99","Neutrogena Bright Boost Gel Cream instantly brightens skin and boosts surface cell turnover by 10x. Starts to improve the look of skin tone, texture & fine lines in 1 week. This best brightening facial cream visibly reduces dullness & dark spots. Formulated with Neoglucosamine for skin that's visibly smoother, youthful and wide awake. Neoglucosamine is a dermatologist preferred skin resurfacing ingredient that helps improve uneven tone, texture, redness, and dullness for skin that's brighter, more even, and wide awake. Neoglucosamine is a building block of hyaluronic acid and promotes skin plumping, firming & hydration. Unique antioxidant, oil-free formula contains AHA, PHA and Mandelic Acid. Dermatologist preferred technology is proven to work on all skin types. Improves the look of dull, tired, rough skin. Use with Bright Boost Illuminating Serum and Bright Boost Resurfacing Micro Face Polish to restore brightness & kick-start tired, dull skin.

Benefits:
Daily facial cream complements skin cell renewal for smooth, even instantly brighter skin
Boosts surface cell turnover by 10x to improve skin tone, texture & fine lines starting in 1 week
Prestige-inspired gel face cream helps reduce hyperpigmentation, dark spots, & facial redness
Formulated with brightening Neoglucosamine, AHA (alpha hydroxy acid), PHA and Mandelic Acid
Neoglucosamine, a building block of hyaluronic acid, helps firm, exfoliate and plump skin
Moisturizing face cream is clinically proven to hydrate & nourish, and works on all skin types
Best brightening AHA facial cream is dermatologist tested, gentle & oil-free","Water, Dimethicone, Glycerin, Mandelic Acid, Triethyl Citrate, Gluconolactone, Acetyl Glucosamine, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polyacrylate Crosspolymer-6, Butylene Glycol, Squalane, Aluminum Starch Octenylsuccinate, Sodium Hydroxide, Phenoxyethanol, Dimethicone Crosspolymer, Cetearyl Olivate, Dimethiconol, Sorbitan Olivate, Chlorphenesin, Cetearyl Alcohol, Polysorbate 60, Succinoglycan, Coco-Glucoside, Disodium EDTA, Fragrance, Ethylhexylglycerin, Silica, Tin Oxide, Titanium Dioxide, Mica, Red 40.",4.1,85%,531 Reviews,https://www.ulta.com/bright-boost-gel-cream?productId=pimprod2009490,2
2,moisturizer,face moisturizer,normal,Lancôme,Hydrate & Help Protect Bienfait Multi-Vital Set,Item 2565385,"Price
$60.00
Market Value
($98 value)","Lancôme's Hydrate & Help Protect Bienfait Multi-Vital Set is a targeted regimen that provides the hydration and protection needed to promote healthy skin and reduce premature aging.

Hydrate & Help Protect Bienfait Multi-Vital Set includes:
Bienfait Multi-Vital Sunscreen Cream Broad Spectrum SPF 30 (1.7 oz)
Bienfait Multi-Vital High Potency Night Moisturizing Cream Vita-Nutri 8 (0.50 oz)
Crème Radiance Clarifying Cream-to-Foam Cleanser - Normal to Combination Skin (1.7 oz)
Advanced Génifique Youth Activating Serum (0.27 oz)

Give your skin a clean start with Crème Radiance, a foaming cleanser that helps you reveal a more radiant complexion as you wash away dirt and impurities. Then apply Advanced Génifique to boost luminosity and suppleness while improving the 10 key signs of aging. This fast-acting anti-aging serum reveals smoother, more radiant, younger-looking skin in as little as 7 days. Smooth and hydrate your skin during the day with Bienfait Multi-Vital Day Cream. With SPF 30 sunscreen and essential antioxidant protection, Bienfait Multi-Vital gives your skin what it needs to help fight the visible effects of environmental skin damage. After cleansing in the evening, finish with Bienfait Multi-Vital Night Cream to help the skin optimize its moisture balance.

The perfect combination to protect your skin and keep it hydrated throughout the day. Containing a complex of nurturing Vitamins E, B5 and CG plus high potency miniaturization, the Bienfait greaseless formula provides 24-hour hydration. Bienfait Multi-Vital Night with Vita-Nutri 8 is a triple-action formula that locks in moisture and uncovers healthy-looking skin. The combination of Omega 3 & 6 with antioxidant Vitamins E and Cg helps strengthen skin's ability to defend itself against external aggressors.",,5,100%,2 Reviews,https://www.ulta.com/hydrate-help-protect-bienfait-multi-vital-set?productId=pimprod2015776,2
3,moisturizer,face moisturizer,normal,StriVectin,Re-Quench Water Cream Hyaluronic + Electrolyte Moisturizer,Size 1.7 oz|Item 2561083,"Price
$59.00","Get balanced hydration in an oil-free, water cream moisturizer from StriVectin. Re-quench skin with a flood of ultra-hydrating Hyaluronic Acid, energizing Electrolytes and replenishing mineral-rich waters. This high-performance hydrator targets dry, dull, visibly fatigued skin, distributing moisture where it's needed most for balanced hydration and a healthy-looking glow. Patented NIA-114 technology strengthens the skin barrier to help impede water loss.

Key benefits:
Instantly plumps & floods skin with hydration
Replenishes and promotes lasting moisture
Energizes & renews dry, dull fatigued skin
Leaves skin healthier-looking and glowing","Aqua/Water/Eau, Dimethicone, Propanediol, Glycerin, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydrolyzed Vegetable Protein, Polymethylsilsesquioxane/Silica Crosspolymer, Fructooligosaccharides, Isosorbide Dicaprylate, Polysilicone-11, Betaine, Myristyl Nicotinate, Beta Vulgaris/Beet Root Extract/Extrait De Racine De Betterave, Nelumbo Nucifera Root Water, Citrus Aurantium Dulcis (Orange) Fruit Water, Leuconostoc Ferment Filtrate, Hydrolyzed Hyaluronic Acid, 1,2-Hexanediol, Trehalose, Hexylene Glycol, Saccharide Isomerate, Cetearyl Olivate, Isononyl Isononanoate, Butylene Glycol, Ethylhexyl Isononanoate, Sorbitan Olivate, Trisodium Ethylenediamine Disuccinate, Sorbitan Isostearate, Decyl Glucoside, Caprylyl Glycol, Magnesium Aspartate, Zinc Gluconate, Copper Gluconate, Polyisobutene, Polysorbate 60, Aloe Barbadensis Leaf Juice Powder, PEG-7 Trimethylolpropane Coconut Ether, Caprylhydroxamic Acid, Potassium Lactate, Lactic Acid, Fragrance/Parfum, Benzyl Benzoate, Limonene, Linalool, Citral, Citronellol, Phenoxyethanol, Citric Acid, Sodium Citrate, CI 17200 (Red 33) (Aka227), CI 42090 (Blue 1) (Ao1) [ILN 30061].",4.5,67%,155 Reviews,https://www.ulta.com/re-quench-water-cream-hyaluronic-electrolyte-moisturizer?productId=pimprod2014592,2
4,moisturizer,face moisturizer,normal,Clinique,Clinique For Men Broad Spectrum SPF 21 Moisturizer,Size 3.4 oz|Item 2140588,"Price
$31.00","Moisturize and protect your skin against sun damage with Clinique For Men Broad Spectrum SPF 21 Moisturizer. Needed hydration plus daily UVA/UVB protection. Improves skin's condition. Lightweight, oil-free formula absorbs quickly.

Clinique's Clean Philosophy: No parabens. No phthalates. No fragrance. Just happy skin.

What else is this product free of? Free of Denatured Alcohol, SLS Free, SLES Free, Sulfate Free.","Active: Octinoxate 7.40%, Octisalate 5.00%, Avobenzone 3.00%, Oxybenzone 2.00%.

Inactive: Water / Aqua / Eau, Butylene Glycol, Dimethicone, Neopentyl Glycol Diheptanoate, Cetearyl Alcohol, Silica, PEG-100 Stearate, Lactobacillus Ferment, Hordeum Vulgare (Barley) Extract / Extrait D'Orge, Algae Extract, Cucumis Sativus (Cucumber) Fruit Extract, Helianthus Annuus (Sunflower) Seedcake, Cholesterol, Cetearyl Glucoside, Propylene Glycol Dicaprate, Chamomilla Recutita (Matricaria), Tridecyl Trimellitate, Hydrogenated Lecithin, Stearyl Alcohol, Zeolite, Tridecyl Stearate, Isododecane, Dipentaerythrityl Hexacaprylate / Hexacaprate, PVP, Oleth-10, Laureth-4, Laureth-23, Caprylyl Glycol, Hexylene Glycol, Polyethylene, Tromethamine, Carbomer, Sodium Citrate, Disodium EDTA, Sodium Benzoate, Potassium Sorbate, Chlorphenesin, Phenoxyethanol, Yellow 5 (CI 19140), Yellow 6 (CI 15985), Red 33 (CI 17200).

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",4.5,95%,100 Reviews,https://www.ulta.com/clinique-men-broad-spectrum-spf-21-moisturizer?productId=prod2140588,2
5,moisturizer,face moisturizer,normal,Neutrogena,Rapid Wrinkle Repair Moisturizer SPF 30,Size 1.0 oz|Item 2225739,"Price
$26.99","Help hydrate and protect your skin while reducing the look of wrinkles with Neutrogena Rapid Wrinkle Repair Moisturizer SPF 30. This fast-acting retinol face & neck cream visibly reduces the look of stubborn wrinkles--including crow's feet and cheek wrinkles. Great for a daily skincare routine, it also helps reduce the look of fine lines and texture and brightens and evens skin tone. In a clinical trial, women experienced noticeable results in just one week of use. This clinically proven anti-wrinkle formula is clinically proven to leave skin feeling smoother and looking healthier. With Retinol SA, it continuously renews the look of skin, helping to smooth wrinkles fast and diminish the look of dark spots. Glucose Complex, a Retinol SA booster, helps accelerate the skin's surface activity for fast results. Formula with hyaluronic acid adds line-plumping moisture to help hydrate, replenish and rejuvenate the look of skin. Retinol moisturizer formula contains SPF 30 for daily sun protection.

Benefits:
Anti-wrinkle moisturizer formula with hydrating hyaluronic acid rejuvenates the look of skin
Moisturizer visibly reduces the look of stubborn wrinkles, including cheek and forehead wrinkles
Super charged anti-wrinkle formula is combined with SPF 30 sunscreen for UVA and UVB sun protection
Clinically proven anti-wrinkle retinol moisturizer to reduce the appearance of wrinkles
Retinol SA renews the look of skin, helping to smooth wrinkles and diminish the look of dark spots
Glucose Complex is a Retinol SA booster to accelerate skin surface activity for fast results
In clinical trials, women experienced noticeable results in just one week of use","Active: Avobenzone 2%, Homosalate 4%, Octisalate 4%, Octocrylene 2%. Inactive: Water, Dimethicone, Isononyl Isononanoate, Glycerin, Cetyl Alcohol, Styrene/Acrylates Copolymer, Steareth-21, Trisiloxane, Nylon-12, Dimethicone/Vinyl Dimethicone Crosspolymer, Stearyl Alcohol, PEG-100 Stearate, Glyceryl Stearate, Phenoxyethanol, Caprylyl Glycol, Fragrance, Chlorphenesin, Xanthan Gum, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Hydrolyzed Myrtus Communis Leaf Extract, Polysorbate 20, Retinol, BHT, Sodium Hyaluronate, Disodium EDTA, Silica, Ascorbic Acid, Sodium Hydroxide.",4.1,84%,627 Reviews,https://www.ulta.com/rapid-wrinkle-repair-moisturizer-spf-30?productId=xlsImpprod3190075,2
6,moisturizer,face moisturizer,normal,Cetaphil,UVA/UVB Defense SPF50 Daytime Moisturizer,Size 1.7 oz|Item 2203289,"Price
$16.79",Moisturizer hydrates your skin as it protects against the sun's damaging rays. Cetaphil UVA/UVB Facial Moisturizer SPF 50 features a non-greasy formula infused with broad spectrum sunscreen and nourishing conditioners. Fragrance free. Non-comedogenic.,"Active Ingredients: Octinoxate (7.5%), Octisalate (5%), Octocrylene (7%), Ocybenzone (6%), Titanium Dioxide (5.7%), Inactive Ingredients: Water, Propylene Glycol, Glycerin, Dimethicone, VP/Eicosene Copolymer, Cyclohexasiloxane, Stearic Acid, Potassium Cetyl Phosphate, Glyceryl Stearate, PEG 100 Stearate, Dimethiconol, Disodium EDTA, Tocopherol, Hydrogenated Soybean Oil, Triethanolamine, Phenoxyethanol, Ethylparaben, Chlorphenesin, Cetearyl Alcohol, Acrylates C10 30 Alkyl Acrylate Crosspolymer, Methylparaben, Xanthan Gum",3.9,77%,156 Reviews,https://www.ulta.com/uvauvb-defense-spf50-daytime-moisturizer?productId=xlsImpprod2160013,2
7,moisturizer,face moisturizer,normal,Skyn Iceland,Pure Cloud Cream,Size 1.7 oz|Item 2266949,"Price
$55.00","Winter weather can ravage your skin. Cosmetic procedures put it through the wringer. Prolonged sun exposure leaves your skin pink and dry. What you're left with is stressed, irritated, dehydrated skin that needs immediate relief!

Skyn Iceland Pure Cloud Cream is the cosmetic equivalent of kid gloves. Incredibly soothing and comforting, this light-as-air super-hydrating cream provides hyper-protection and healing relief for uber-sensitive skin. Formulated to rescue skin from external aggressors like harsh weather and provide comfort after dermatological procedures and surgeries, it pampers and calms seriously stressed skin. Irritation and inflammation are soothed away while peptides stimulate the release of feel-good endorphins. Skin is nurtured, pampered and hydrated to return it to its natural, healthy state.

Free of parabens, petroleum, mineral oil, chemical sulfates and phthalates. 100% vegan and cruelty-free. Dermatologist tested for sensitive skin.","Water/Aqua/Eau, Hydrogenated Didecene, Butylene Glycol, Bisabolol, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Leuconostoc/Radish Root Ferment Filtrate, Canola Oil, Hydrolyzed Rice Protein, Sodium Hyaluronate, Camellia Oleifera Leaf Extract, Avena Sativa (Oat) Kernel Extract, Aloe Barbadensis Leaf Juice, Rubus Chamaemorus (Arctic Cloudberry) Seed Oil, Oxycoccus Palustris (Arctic Cranberry) Seed Oil, Thymus Vulgaris (Thyme) Flower/Leaf Extract, Angelica Archangelica Root Water*, Simmondsia Chinensis (Jojoba) Seed Oil, Buddleja Davidii Extract, Citrus Grandis (Grapefruit) Peel Oil, Ascorbyl Palmitate, Retinol, Tocopherol, Triceteareth-4 Phosphate, Sodium Polyacrylate, Glyceryl Stearate, PEG-100 Stearate, Biotin, Glycerin, Zea Mays (Corn) Starch, Lauryl Glucoside, Polyglyceryl-2-Dipolyhydroxystearate, Ethylhexyl Stearate, Laureth-3, Silica, Hydroxyethylcellulose, Trideceth-6, Acetyl Dipeptide-1 Cetyl Ester, Alcohol, Perfluorodecalin, Sucrose Palmitate, Ceramide NP, Stearic Acid, Sorbitan Stearate, Sodium Benzoate, Caprylyl Glycol, Potassium Phosphate, Lecithin+, Pentylene Glycol, Xanthan Gum, Potassium Sorbate, Polysorbate 20, Sodium Hydroxide, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Cetyl Alcohol, Cetyl Ricinoleate, Ethylhexyl Methoxycinnamate, Phenoxyethanol.

*Component of Icelandic Glacial Water
+Contains Soy",4.4,84%,151 Reviews,https://www.ulta.com/pure-cloud-cream?productId=xlsImpprod5830038,2
8,moisturizer,face moisturizer,normal,Clinique,Clinique Smart Clinical MD Multi-Dimensional Age Transformer Revolumize,Size 1.7 oz|Item 2549354,"Price
$69.00","Clinique Smart Clinical MD Multi-Dimensional Age Transformer Revolumize is an instant plumping dense-cream visibly rejuvenates facial morphology that helps replump skin and provides volume building day after day.

Who It's For:
All Skin Types

What It Is:
An instant plumping dense-cream visibly rejuvenates facial morphology that helps replump skin and provides volume building day after day.

What It Does:
A combination of three different molecular weights of Hyaluronic Acid helps achieve a plumped look.
Powered by Morpho Technology + Custom Repair, this global de-aging formula helps visibly correct lines and wrinkles, dullness, and uneven tone.

Benefits:
Hyaluronic Acid: Hydration is the key to healthy, youthful skin. This effective humectant has skin-plumping effects - it can attract up to 1,000 times its weight in water.
Soybean Protein: This plant-derived ingredient helps provide a support system to plump up skin, filling in lines.
Yeast Extract: Helps skin hold onto moisture, providing a smoothing effect that minimizes roughness and plumps up wrinkles.
Neuropeptides: A group of three neuropeptides work together to help boost natural collagen production, and relax the look of wrinkles and expression lines.

Clinique Clean Philosophy:
No parabens
No phthalates
No fragrance
Just happy skin.

What else is this product free of?
Oil
Denatured alcohol

See How To Apply Clinique Smart Clinical MD Multi-Dimensional Age Transformer Revolumize.","Water\Aqua\Eau, Butylene Glycol, Butyrospermum Parkii (Shea Butter), Cetearyl Alcohol, Hydrogenated Polyisobutene, Phenyl Trimethicone, Sucrose, Glycerin, Polyglyceryl-3 Beeswax, Cetyl Esters, Isostearyl Neopentanoate, Peg-100 Stearate, Hdi/Trimethylol Hexyllactone Crosspolymer, Cetearyl Glucoside, Acetyl Glucosamine, Sigesbeckia Orientalis (St. Paul'S Wort) Extract, Yeast Extract\Faex\Extrait De Levure, Methyl Glucose Sesquistearate, Centaurium Erythraea (Centaury) Extract, Micrococcus Lysate, Polysilicone-11, Acetyl Octapeptide-3, Acetyl Hexapeptide-8, Ergothioneine, Biotin, Whey Protein\Lactis Protein\Protéine Du Petit-Lait, Ursolic Acid, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Glycine Soja (Soybean) Protein, Tocopheryl Acetate, Camellia Sinensis Leaf Extract, Isoleucine, Saccharomyces Ferment Filtrate, Leucine, Soy Amino Acids, Carbomer, Polymethyl Methacrylate, Hydroxyethyl Urea, Caffeine, Caprylyl Glycol, Pyrus Malus (Apple) Fruit Extract, Polybutene, Hydrolyzed Soy Protein, Dimethicone, Sodium Hyaluronate, Linoleic Acid, Stearic Acid, Aminomethyl Propanol, Adenosine Phosphate, Acetyl Carnitine Hcl, Creatine, Menthanediol, Lecithin, Aminopropyl Ascorbyl Phosphate, Silica, 1,2-Hexanediol, Calcium Chloride, Hydroxyethylcellulose, Sodium Citrate, Citric Acid, Disodium Edta, Potassium Sorbate, Bht, Sodium Benzoate, Sodium Dehydroacetate, Phenoxyethanol, Ext. Violet 2 (CI 60730), Red 33 (CI 17200).",,,,https://www.ulta.com/clinique-smart-clinical-md-multi-dimensional-age-transformer-revolumize?productId=pimprod2008726,2
9,moisturizer,face moisturizer,normal,Klairs,Rich Moist Soothing Cream,Size 2.0 oz|Item 2546684,"Price
$25.00","Klairs Rich Moist Soothing Cream is a decadent daily moisturizer that helps strengthen the skin's protective barrier, providing a more radiant, hydrated complexion. Perfect to use all-year-round, this moisturizing cream promotes immediate and long-term moisture for dry and sensitive skin types.

Key Ingredients
Shea Butter: Provides deep hydration and comforts skin
Centella Asiatica Extract: A plant extract with powerful soothing properties that calms irritation and breakouts
Ceramides: A naturally occurring component in skin that supports water-retention and improves skin¿s texture and softness
Beta Glucan: A sugar-derived ingredient that soothes irritation and redness
Adenosine: A yeast-derived ingredient that fights against wrinkles for a smooth and youthful appearance

Key Benefits
Imparts long-lasting hydration thanks to shea butter and ceramides
Reinforces the moisture barrier
Provides calming, soothing relief to irritated skin
Strengthens and protects sensitive skin

Key Call-outs
Vegan-Friendly
pH: 6.5
Hypoallergenic
Cruelty-free, Ethanol-free, silicone-free, artificial dye-free, artificial fragrance-free","Water, Caprylic/Capric Triglyceride, Glycerin, Cetyl AlcoholCyclopentasiloxane, Glyceryl Stearate, Sodium Hyaluronate Cetyl Ethylhexanoate, Stearic Acid, Butyrospermum Parkii (Shea Butter) ,Simmondsia Chinensis (Jojoba) Seed Oil,Beta-Glucan, Sorbitan Sesquioleate, Microcrystalline Wax, Betaine, Peg-100 Stearate, Ceramide 3, Polyquaternium-51, Sorbitan Stearate, Dimethicone, Tocopheryl Acetate, Carbomer, Arginine, Illicium Verum(Anise) Fruit Extract, Citrus Paradisi(Grapefruit) Fruit Extract, Nelumbium Speciosum Flower Extract, Paeonia Suffruticosa Root Extract, Scutellaria Baicalensis Root Extract, Chlorphenesin,Disodium Adenosine Triphosphate, Algin, Carica Papaya (Papaya) Fruit Extract, Citric Acid, Portulaca Oleracea Extract, Natto Gum, Centella Asiatica Extract, Althaea Rosea Flower Extract, Aloe Barbadensis Leaf Extract, Disodium Edta, Apium Graveolens (Celery) Extract ,Brassica Oleracea Capitata (Cabbage) Leaf Extract, Brassica Oleracea Italica (Broccoli) Extract, Brassica Rapa (Turnip) Leaf Extract, Daucus Carota Sativa (Carrot) Root Extract, Oryza Sativa (Rice) Bran Extract, Solanum Lycopersicum (Tomato) Fruit/Leaf/Stem Extract, Lysine Hcl, Proline, Sodium Ascorbyl Phosphate Acetyl Methionine, Theanine, Lavandula Angustifolia (Lavender) Oil, Eucalyptus Globulus Leaf Oil ,Pelargonium Graveolens Flower Oil, Citrus Limon (Lemon) Peel Oil, Citrus Aurantium, Dulcis (Orange) Peel Oil, Cananga Odorata Flower Oil.",,,217 Reviews,https://www.ulta.com/rich-moist-soothing-cream?productId=pimprod2005173,2
