,use_category,use_subcategory,skintype,brand,product,size,price,details,ingredients,ratings,perc_respondrec,total_reviews,link,page
0,moisturizer,face moisturizer,oily,L'Occitane,Immortelle Divine Cream,Size 1.7 oz|Item 2567652,"Price
$110.00","L'OCCITANE's best-selling, award-winning Immortelle Divine Cream helps fight visible signs of aging. With a 5th patent pending, the luxurious, yet miraculously lightweight Divine Cream is now better than ever. It combines the organic Immortelle essential oil, rich in molecules that deliver unique antiaging beauty results, with a complex of 7 ingredients of natural origin to give skin the youthful, radiant glow you've always wanted.","Aqua/Water, C12-15 Alkyl Benzoate, Caprylic/Capric Triglyceride, Glycerin, Oenothera Biennis (Evening Primrose) Oil, Dimethicone, Ascorbyl Glucoside, Cetearyl Alcohol, Tapioca Starch, Glyceryl Stearate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Camelina Sativa Seed Oil, Cetyl Alcohol, Helichrysum Italicum Extract, Helichrysum Italicum Flower Oil, Myrtus Communis Oil, Borago Officinalis Seed Oil, Echium Plantagineum Seed Oil, Menyanthes Trifoliata Leaf Extract, Bellis Perennis (Daisy) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Helianthus Annuus (Sunflower) Seed Oil, Mel/Honey, Sodium Hyaluronate, Adenosine, Peg-100 Stearate, Cetyl Palmitate, Phenoxyethanol, Sucrose Palmitate, Cetearyl Glucoside, Tocopheryl Acetate, Sodium Citrate, Chlorphenesin, Sodium Hydroxide, Ethylhexylglycerin, Glyceryl Linoleate, Palmitic Acid, Stearic Acid, Disodium Edta, Sorbitan Isostearate, Polysorbate 60, Citric Acid, Magnesium Aspartate, Zinc Gluconate, Potassium Sorbate, Copper Gluconate, Sodium Benzonate, Tocopherol, Parfum/Fragrance, Limonene, Citral, Linalool, Benzyl Salicylate, Geraniol.",4.6,75%,584 Reviews,https://www.ulta.com/immortelle-divine-cream?productId=pimprod2016157,2
1,moisturizer,face moisturizer,oily,Skinfood,Peach Sake Emulsion,Size 4.6 oz|Item 2305338,"Price
$15.00","SKINFOOD's Peach Sake Emulsion is a light and refreshing emulsion with peach and Japanese sake extracts. It tightens pores, reduces the appearance of enlarged pores, and controls oily skin with excessive sebum.

Peaches contain significant vitamins, minerals, and other factors, which promote healthy skin. Peaches are rich in vitamin A and vitamin C, which are antioxidants that help reduce free radical damage and possess anti-aging benefits. Naturally occurring acid in the skin helps prevent acne and repair acne scars. The organic acid found in peaches can boost skin acid's rejuvenating effects. Finally, pectin, a type of fiber, is found in the skin of peaches and helps to tone and firm skin.

Sake, a wine made from rice, clears skin by facilitating blood circulation, while the alcohol also tightens pores and controls sebum production. Geishas, traditional artisans and performers in Japan, would add sake to bath water for softer, brighter skin. Following their fashion, sake spas offer luxurious sake baths and treatments. The fermentation process produces kojic acid, which has brightening effects on skin. The yeast used in the process also contains peptides, which are chains of amino acids that play a role in effective collagen production. ","Water, Phenyl Trimethicone, Alcohol Denat., Mineral Oil, Bis-Peg-18 Methyl Ether Dimethyl Silane, Isohexadecane, Prunus Persica (Peach) Fruit Extract, Sorbitan Stearate, Polyglyceryl-3 Methylglucose Distearate, Rice Ferment Filtrate (Sake), Butylene Glycol, Dimethicone, Ethylhexylglycerin, 1,2-Hexanediol, Propylene Glycol, Carbomer, Allantoin, Triethanolamine, Sucrose Cocoate, Tocopheryl Acetate, Argania Spinosa Kernel Oil, Hydrogenated Lecithin, Enantia Chlorantha Bark Extract, Disodium Edta, Sesamum Indicum (Sesame) Seed Oil, Bht, Stearyl Glycyrrhetinate, Beta-Sitosterol, Serenoa Serrulata Fruit Extract, Phenoxyethanol, Tocopherol, Glycyrrhiza Glabra (Licorice) Root Extract, Centella Asiatica Extract, Glycine Soja (Soybean) Seed Extract, Oleanolic Acid, Chamomilla Recutita (Matricaria) Flower Extract, Fragrance, Silica, D&C Red No.33(Ci 17200), Fd&C Yellow No.5(Ci 19140), Fd&C Yellow No.6(Ci 15985).",4.5,95%,142 Reviews,https://www.ulta.com/peach-sake-emulsion?productId=xlsImpprod14431247,2
2,moisturizer,face moisturizer,oily,Philosophy,Travel Size Renewed Hope In A Jar,Size 0.5 oz|Item 2287343,"Price
$14.00","Philosophy skin labs' original breakthrough moisturizer is changing the face of skin care again. The revolutionary lightweight, whipped formula of Hope In a Jar is renewed and infused with a new innovation: clinically proven skin renewal technology. This groundbreaking formulation features a triple blend of alpha hydroxy acids, 3 forms of hyaluronate plus an Asian fruit extract, delivering an even longer-lasting glow and continuous hydration benefits. reaffirm your commitment to beautiful skin with renewed hope and face the future with a whole new outlook.

For the first time, Philosophy has developed a formula that can keep skin in a constant state of renewal. Renewed hope features clinically proven non-stop skin renewal technology to give skin an all-day glow. This breakthrough moisturizer is so effective that 91% of women fell in love with the feel of their skin and would recommend renewed hope to a friend.

Clinical and self-assessment studies for renewed hope showed:**
Immediately: 94% saw an improvement in hydration; 81% saw glowing skin
In 1 week: 100% saw an improvement in skin texture
In 4 weeks: 79% saw a reduction in pore size
In 8 weeks: 78% saw the look of fine lines reduced

**Based on an 8-week clinical study with 52 participants and the self-assessment of the women in the study who expressed an opinion.
*Triple blend of alpha hydroxy acids refine texture with visibly smaller pores and fine lines virtually lifted away
*Soft, dewy smoothness, comforted by instant and all-day hydration
*Re-energized healthy color and glow with Asian fruit extracts for improved microcirculation","Aqua/Water/Eau, Cyclopentasiloxane, Stearic Acid, Glycerin, Butylene Glycol, C12-15 Alkyl Benzoate, Glycolic Acid, Dimethicone, Polyacrylamide, Cetearyl Alcohol, Phenoxyethanol, Sodium Hydroxide, C13-14 Isoparaffin, Dimethicone Crosspolymer, Ceteareth-20, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Polysilicone-11, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Laureth-7, Citric Acid, Chlorphenesin, Mandelic Acid, Tocopheryl Acetate, Synthetic Fluorphlogopite, Ethlhexyl Palmitate, Propanediol, Parfum/Fragrance, Disodium EDTA, Adenosine, Evodia Rutaecarpa Fruit Extract, Limonene, Faex/Yeast Extract/Extrait De Levure, Magnesium Stearate, Opuntia Coccinellifera Flower Extract, Silica Dimethyl Silylate, Caprylyl Glycol, BHT, Ethylhexylglycerin, Hyaluronic Acid, Silanetriol, Sodium Hyaluronate, Sorbic Acid, Hexylene Glycol, Bismuth Oxychloride (Ci 77163).",4.6,93%,1342 Reviews,https://www.ulta.com/travel-size-renewed-hope-in-a-jar?productId=xlsImpprod12191219,2
3,moisturizer,face moisturizer,oily,Clinique,Clinique For Men Maximum Hydrator Activated Water-Gel Concentrate,Size 1.6 oz|Item 2508523,"Price
$39.50","An instant moisture boost. Water-gel formula is ultralight, yet intensely hydrates to boost skin's moisture reserves for a full 72 hours. Innovative Liquid-Sphere Technology combines water-binding ingredients with encapsulated antioxidants to help break the cycle of dryness and environmental stress that can age skin's appearance. Absorbs instantly, leaving skin soothed, comfortable, fresh. Allergy Tested.

Allergy tested.

Clinique's Clean Philosophy: No parabens. No phthalates. No fragrance. Just happy skin.

What else is this product free of? Gluten Free, Oil Free, Free of Denatured Alcohol, SLS Free, SLES Free, Sulfate Free.","Water\Aqua\Eau, Glycerin, Butylene Glycol, Phenyl Trimethicone, Propanediol, Sucrose, Hydroxyethyl Urea, Alteromonas Ferment Extract, Aloe Barbadensis Leaf Water, Algae Extract, Cholesterol, Hydrolyzed Rice Extract, Trehalose, Acetyl Glucosamine, Pentaerythrityl Tetraethylhexanoate, Sorbitol, Sodium Hyaluronate, Sodium Polyaspartate, Caffeine, Tocopheryl Acetate, Sodium Hydroxide, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Carbomer, Dextrin Palmitate, Dehydroxanthan Gum, Citric Acid, Benzophenone-4, Tetrahexyldecyl Ascorbate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Sodium Citrate, Disodium EDTA, BHT, Chlorphenesin, Phenoxyethanol, Green 6 (CI 61565).

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",4.8,100%,11 Reviews,https://www.ulta.com/clinique-men-maximum-hydrator-activated-water-gel-concentrate?productId=xlsImpprod15841061,2
4,moisturizer,face moisturizer,oily,Juice Beauty,Nutrient Moisturizer,Size 2.0 oz|Item 2236873,"Price
$42.00","Vegan & Cruelty-Free. Formulated with an organic base of botanical juices instead of added water. This nutrient-rich moisturizer hydrates and replenishes with calming botanicals, fatty acid-rich plant oils and vitamin antioxidants for ageless healthy skin. A daily essential for all skin types. Juice Beauty's Nutrient Moisturizer is designed for all skin types and especially beneficial for normal, dry or mature skin.

Key Benefits:
Hydrates with nutrient-rich organic shea & jojoba.
Soothes & replenishes with organic aloe & algae.
Rejuvenates with flavonoid rich organic botanicals of primrose, borage & linseed.
Fights free radicals with antioxidant-rich grapeseed.
Provides essential nutrients to promote healthy, younger-looking skin with vitamins B5, C, & E.


Powerful Action Without

Since every organic drop feeds your skin, Juice Beauty formulates WITHOUT: Animal fats/oils/musks, Acetone, Acrylates, Artificial colors & dyes, Avobenzone, Benzalkonium Chloride, Benzocaine, Benzophenone, BHA (butylated hydroxyanisole), BHT (butylated hydroxytoluene), Butylene Glycol, Carbon Black, Carmine, Coal Tar Dyes, Copper Disodium EDTA, Dimethicones, Disodium EDTA, Fragrance (Synthetic/Parfum), Formaldehyde, Formaldehyde releasers or donors, Gelatin, gmos (Genetically Modified Organisms), Hydroquinone, Lead Acetate, MEA-containing ingredients, Mercury, Methylchloroisothiazolinone, Methylisothiazolinone, Microbeads (plastic), Mineral Oil, Oxybenzone, Parabens, pegs, Pesticides, Petroleum, Petrolatum, Phthalates, Propylene Glycol, Silicones, Sodium Lauryl Sulfates, Talc, TEA, Triclosan. Their products are NEVER tested on animals.","Organic juices of vitis vinifera (Organic White Grape Juice)*, Aloe Barbadensis (Organic Aloe Juice)*, Butyrospermum Parkii (Organic Shea Butter)*, Vegetable Glycerin, Vitis Vinifera (Grape Seed Oil), Cetearyl Alcohol, Cetearyl Glucoside, Gluconolactone, Organic Plant Oils Of Simmondsia Chinensis (Organic Jojoba Seed Oil)*, Oenothera Biennis (Organic Evening Primrose Oil)*, Linum Usitatissimum (Organic Linseed Oil)*, Borago Officinalis (Organic Borage Seed Oil)*, Limnanthes Alba (Meadowfoam Seed Oil), Sodium Benzoate, Xanthan Gum, Tocopherol (Vitamin E), Sorbitan Stearte, Stearyl & Benzyl Alcohol, Panthenol (Vitamin B5), Magnesium Ascorbyl Phosphate (Vitamin C), Beta Carotene, Sodium Hyaluronate (Vegetable Hyaluronic Acid), Botanical Extracts Of Calendula Officinalis (Marigold Flower Extract), Chamomilla Recutita (Chamomile Leaf Extract), Tilia Cordata (Linden Leaf Extract), Algae Extract, Sodium Hydroxide, Potassium Sorbate, Copernicia Cerifera (Carnauba Wax), Litsea Cubeba (May Chang), Cananga Odorata (Ylang Ylang), Boswellia Carterii (Frankincense) And Commiphora Myrrha (Myrrh) Pure Essential Oils.

*Certified Organic Ingredient",3.8,74%,138 Reviews,https://www.ulta.com/nutrient-moisturizer?productId=xlsImpprod3670103,2
5,moisturizer,face moisturizer,oily,Perricone MD,Vitamin C Ester Photo-Brightening Moisturizer Broad Spectrum SPF 30,Size 2 oz|Item 2532499,"Price
$69.00","Vitamin C Ester Photo-Brightening Moisturizer Broad Spectrum SPF 30 from Perricone MD is ultra-lightweight and it's whipped texture immediately hydrates & protects against environmental aggressors while delivering long-term brightening benefits. Formulated with mineral-based broad spectrum SPF for superior sun protection.

Same product, new look! Perricone MD Vitamin C Ester Photo-Brightening Moisturizer","Titanium Dioxide 4.2% Inactive Ingredients: Water/Aqua/Eau, Glycerin, Cyclopentasiloxane, Dimethicone, Pentylene Glycol, Ethylhexyl Methoxycrylene, Polyester-8, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Benzyl Alcohol, Aluminum Hydroxide, Stearic Acid, Diethylhexyl Syringylidenemalonate, Hydrogenated Lecithin, Isohexadecane, Bisabolol, Tetrahexyldecyl Ascorbate, Phenoxyethanol, Polysilicone-11, Polysorbate 60, Caprylic/Capric Triglyceride, Sodium Benzoate. Potassium Sorbate, Xanthan Gum, Hydrogenated Phosphatidylcholine, Thioctic Acid, Astaxanthin
",4.7,100%,18 Reviews,https://www.ulta.com/vitamin-c-ester-photo-brightening-moisturizer-broad-spectrum-spf-30?productId=xlsImpprod19011035,2
6,moisturizer,face moisturizer,oily,Oh K!,Chok Chok Glowing Moisturiser,Item 2542031,"Price
$15.00","Oh K! Chok Chok Glowing Moisturiser has vitamins and Hyaluronic Acid to perfect and plump the skin and super-charge your glow while locking in hydration.

Benefits:
Lightweight, buildable moisturiser with a glowing pearlescent finish
Shea Butter helps to retain moisture in the skin by creating a barrier to help to minimize evaporation
Rapeseed oil has emollient properties and is a natural source of Vitamin E",,4.5,92%,120 Reviews,https://www.ulta.com/chok-chok-glowing-moisturiser?productId=pimprod2004050,2
7,moisturizer,face moisturizer,oily,Clarins,Rose Radiance Cream,Size 1.7 oz|Item 2549695,"Price
$129.00","Clarins' Rose Radiance Super Restorative Cream is an intensive 3-in-1 daily replenishing moisturizer for mature skin that delivers on the 3 dimensions of radiant skin: smoothness, luminosity and even skin tone. This vibrant pink-tinted, anti-aging cream instantly warms the complexion with a natural-looking rosy glow and a powerful blend of plant extracts for that youthful glow.

SMOOTHES SKIN TEXTURE: Hibiscus Sabdariffa Flower acids gently remove dead surface cells, leaving skin smooth, supple and visibly tighter allowing light to better reflect on the skin's surface for maximum rosiness and radiance.

BOOSTS LUMINOSITY: Clarins Universal Radiance Complex contains 4 shades of mother-of-pearl that amplify white light boosting skin's luminosity and blurring imperfections for a virtually flawless complexion.

EVENS SKIN TONE: The delicate pink tint, and a dark spot-targeting vitamin C derivative, combine to promote a healthy-looking, rosy glow and an even skin tone.

+PLUS ANTI-AGING INNOVATION: Organic Harungana extract replenishes to visibly restore the look of skin's density, elasticity and healthy-looking vitality. Line-filling pearls visibly plump to smooth the skin's surface while hyaluronic acid deeply hydrates. The look of deep wrinkles and skin slackening is visibly reduced.

A creamy, melting texture delights the senses with the addictive, fruity-floral essence of peach, peony and rose. Day after day, skin is rosy, radiant and hydrated glowing with renewed vitality and the look of youth.

How to Apply: Following your Clarins eye treatment and serum, apply Rose Radiance to a clean face and neck each morning.

Key Ingredients:
Hibiscus Sabdariffa flower acids exfoliate for a smooth skin texture
Universal Radiance Complex boosts radiance and blurs imperfections
Vitamin C derivative targets dark spots
Organic Harungana extract fights deep wrinkles and skin slackening, including line-filling pearls that visibly smooth and plump
Anti-Pollution Complex with Lapsana, Furcellaria and White Horehound helps protect skin from indoor, outdoor and electronic pollutants
Hyaluronic Acid Complex hydrates
Organic Shea Butter softens, nourishes and soothes
Apple Seed Oil comforts

Who's It For: Anti-aging skincare for mature skin lacking radiance - All Skin Types

What Else You Should Know: Clarins is committed to Responsible Beauty.

Rose Radiance Cream demonstrates our commitment to respecting biodiversity and local communities through the fair trade practices with the ingredient, Harungana. The harvesting of Harungana leaves is carried out on trees that grow on land, and not used for food production in a controlled manner to ensure the trees' sustainability. A percentage of the sale price of the dried Harungana leaves is donated to a social fund managed by Jardins du Monde to help finance local community projects. Rose Radiance Cream is packaged with 25% recycled glass, and is formulated with 2 organic plants: Harungana and Shea Butter.

What to Use it With: Super Restorative Total Eye Concentrate, Super Restorative Remodeling Serum, Super Restorative Night Cream, Super Restorative Décolleté and Next Concentrate

Research Results:
86% of women call it radiance in a jar.*

SKINCARE BENEFITS:

Visible results after application:*
82% Healthy glow

Visible results after 7 days:**
83% Rosy radiance is revived

Visible results after 28 days:***
87% More luminous skin
81% More toned skin
81% Improved skin texture
80% More even skin tone
80% Smoother skin

*Satisfaction test - 105 women - upon application
**Satisfaction test - 105 women - after 7 days
***Satisfaction test - 105 women - after 28 days","Aqua/Water/Eau, Glycerin, Corylus Avellana (Hazel) Seed Oil, Dimethicone, Butyrospermum Parkii (Shea) Butter, Caprylic/Capric Triglyceride, Ci 77891/Titanium Dioxide, Phenyl Trimethicone, Pentaerythrityl Tetraethylhexanoate, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Synthetic Fluorphlogopite, Pentaerythrityl Distearate, Pentylene Glycol, Polyglyceryl-10 Myristate, Polyacrylate Crosspolymer-6, Ascorbyl Glucoside, Sucrose Palmitate, Parfum/Fragrance, Sodium Benzoate, Sodium Citrate, Tocopheryl Acetate, Disodium Edta, Hibiscus Sabdariffa Flower Extract, Glyceryl Linoleate, Butylene Glycol, Sodium Hyaluronate, Dimethiconol, Harungana Madagascariensis Extract, Tin Oxide, Marrubium Vulgare Extract, Citric Acid, T-Butyl Alcohol, Potassium Sorbate, Propanediol, Olea Europaea (Olive) Fruit Extract, Ci 14700/Red 4, Pectin, Phenoxyethanol, Guar Hydroxypropyltrimonium Chloride, Furcellaria Lumbricalis Extract, Ci 17200/Red 33, Lapsana Communis Flower/Leaf/Stem Extract, Maris Sal/Sea Salt/Sel Marin, Acetyl Tetrapeptide-2, Dextran.",4.2,78%,72 Reviews,https://www.ulta.com/rose-radiance-cream?productId=pimprod2007591,2
8,moisturizer,face moisturizer,oily,Estée Lauder,Travel Size Revitalizing Supreme+ Global Anti-Aging Cell Power Creme,Size 0.5 oz|Item 2568220,"Price
$27.00","The key to younger-looking skin.

Use the Estée Lauder Revitalizing Supreme+ Global Anti-Aging Cell Power Creme morning and night to unlock your skin's youth potential and see it spring back with new bounce, glow with radiant vitality.

With the exclusive RevitaKey Technology featuring exclusive Moringa Extract, this silky-soft, deeply nourishing multi-action creme encourages skin's natural power to amplify collagen and elastin.

Key Benefits:
Lines and wrinkles look dramatically reduced, skin's visible firmness, density and elasticity is significantly improved
Multi-action day/night creme, the key to younger-looking skin
Non-acnegenic; won't clog pores
Suitable for your neck area
For all skintypes
In just 4 weeks, 96% of women said their skin felt firmer.*
The Gateway of Youth: At the heart of Revitalizing Supreme+ is the exclusive Moringa Extract.
What is Moringa?
For thousands of years, the Moringa Plant (often referred to as the ''miracle tree'') has been known for its exceptionally nourishing qualities. It holds key building blocks of life-calcium, potassium, Vitamin C, amino acids and Omega 3. It's one of the most powerful anti-aging ingredients ever discovered.
What Moringa Extract does:
Helps skin optimize its natural renewal and cellular potential.
Supports a powerful protein known as the ''gatekeeper of youth'' - helping skin ''unlock'' multiple anti-aging pathways.
Works together with our pro-collagen technology to help reduce the look of lines and wrinkles.
*Consumer testing on 107 women.
Ideal For:
Multiple signs of aging
Loss of firmness, tone
Lines and wrinkles
Dullness, loss of radiance
Dryness, dehydration","Water\Aqua\Eau, Dimethicone, Glycerin, Isohexadecane, Butylene Glycol, Bis-Peg-18 Methyl Ether Dimethyl Silane, Peg-10 Dimethicone, Disteardimonium Hectorite, Pentylene Glycol, Cucumis Sativus (Cucumber) Fruit Extract, Narcissus Tazetta Bulb Extract, Magnolia Officinalis Bark Extract, Hordeum Vulgare (Barley) Extract\Extrait D'Orge, Sigesbeckia Orientalis (St. Paul'S Wort) Extract, Lens Esculenta (Lentil) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Whey Protein\Lactis Protein\Proteine Du Petit-Lait, Citrullus Vulgaris (Watermelon) Fruit Extract, Moringa Oleifera Seed Extract, Laminaria Digitata Extract, Triticum Vulgare (Wheat) Germ Extract, Opuntia Tuna Extract, Acetyl Hexapeptide-8, Sorbitol, Helianthus Annuus (Sunflower) Seedcake, Caffeine, Algae Extract, Sodium Hyaluronate, Sodium Lactate, Squalane, Polysilicone-11, Isododecane, Tocopheryl Acetate, Sucrose, Acetyl Glucosamine, Polyethylene, Propylene Carbonate, Citric Acid, Peg-32, Propylene Glycol Dicaprate, Peg-6, Isoceteth-20, Sodium Dehydroacetate, Aminopropyl Ascorbyl Phosphate, Fragrance (Parfum), Sodium Pca, Sodium Citrate, Disodium Edta, Bht, Phenoxyethanol, Iron Oxides (Ci 77491). Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",5,100%,1 Review,https://www.ulta.com/travel-size-revitalizing-supreme-global-anti-aging-cell-power-creme?productId=pimprod2017847,2
9,moisturizer,face moisturizer,oily,Clarins,Super Restorative Day Cream SPF 20,Size 1.7 oz|Item 2279074,"Price
$129.00","Clarins - Super Restorative Day Cream SPF 20

Powered by Organic Harungana extract the ''healing'' plant from Madagascar this intensive replenishing, anti-aging moisturizer helps visibly restore density, elasticity and healthy-looking vitality to mature skin weakened by hormonal changes linked to aging.

Visibly reduces the appearance of age spots, deep wrinkles, slackening and dullness.

Helps protect skin from future aging with SPF 20 UVA/UVB sunscreens while Clarins' Exclusive Anti-Pollution Complex helps protect skin from pollution and free radical damage.

Day after day, skin is visibly replenished.

The solution for:
Age spots
Deep wrinkles
Loss of radiance
Skin slackening


Key ingredients
Organic Harungana Leaf extract visibly reduces lines, wrinkles and sagging
Shea butter nourishes, soothes and smoothes
SPF 20 UVA/UVB sun filters
Clarins' Exclusive Anti-Pollution Complex helps protect skin from pollution and free radical damage


Find ULTA Beauty stores that carry Clarins.

Daily Routine for Every Concern. Click here for Daily Routine Chart!.

A Moisturizer for Every Concern. Click here for Moisturizer Chart!.","Aqua/Water/Eau, Homosalate, C12-15 Alkyl Benzoate, Butyloctyl Salicylate, Butylene Glycol, Alcohol, Butyl Methoxydibenzoylmethane, Cetearyl Alcohol, Octocrylene, Pentylene Glycol, Tapioca Starch, Cetearyl Glucoside, Parfum/Fragrance, Potassium Cetyl Phosphate, Sodium Polyacrylate, Ethylhexylglycerin, Glycerin, Tocophery Acetate, Xanthan Gum, Disodium EDTA , Pueraria Lobata Root Extract , Hexyl Cinnamal , Tocopherol , Mica , CI 77120/Barium Sulfate , Butylphenyl Methylpropional , CI 77891/Titanium Dioxide, Linalool, Citronellol, Acacia Senegal Gum, Phenoxyethanol, Helianthus Annuus (Sunflower) Seed Oil, Alpha-Isomethyl Ionone, Diospyros Kaki Fruit Extract, Sodium Citrate, Potassium Sorbate, Citric Acid.",4.7,94%,143 Reviews,https://www.ulta.com/super-restorative-day-cream-spf-20?productId=xlsImpprod11591303,2
